redundancy,policy,mean_prediction_gain_mean,mean_prediction_gain_std,mean_utility_recovery_mean,mean_utility_recovery_std,mean_duplicate_selections_mean,mean_duplicate_selections_std,duplicate_selection_rate_mean,duplicate_selection_rate_std,negative_transfer_rate_mean,negative_transfer_rate_std,mean_selected_contexts_mean,mean_selected_contexts_std
0.5,coverage,0.49559260,0.00987467,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mmr,0.49559260,0.00987467,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mur_free_threshold,0.30660793,0.02025586,0.49656454,0.03537837,0.09333333,0.02460804,0.02877778,0.00752906,0.00000000,0.00000000,1.19240000,0.13947409
0.5,mur_interval,0.29359632,0.02122443,0.46341451,0.04224217,0.07493333,0.02144036,0.02338889,0.00683130,0.00000000,0.00000000,1.07186667,0.13558466
0.5,mur_light,0.41679595,0.00844933,0.81308136,0.01795768,1.06933333,0.05890671,0.27165556,0.01396034,0.00000000,0.00000000,3.83240000,0.09045760
0.5,oracle,0.49559260,0.00987467,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.99880000,0.00073030
0.5,oracle_static,0.43945711,0.00972500,0.88666270,0.00247121,1.74266667,0.02084333,0.43566667,0.00521083,0.00000000,0.00000000,4.00000000,0.00000000
0.5,relevance,0.36534084,0.01124900,0.73472589,0.00780092,1.05546667,0.01629178,0.26386667,0.00407295,0.00000000,0.00000000,4.00000000,0.00000000
0.5,static_utility,0.39504798,0.00508521,0.76418725,0.00983414,1.73546667,0.00930233,0.43386667,0.00232558,0.00000000,0.00000000,4.00000000,0.00000000
