candidate_count,seed,utility_mae,target_sd,target_absmean,nmae_sd,nmae_absmean,mean_top2_margin,median_top2_margin,mean_positive_top2_margin,zero_margin_rate,mean_max_abs_error,mean_ratio_max_error_margin_positive,median_ratio_max_error_margin_positive,mean_ratio_mean_error_margin_positive,bound_rate_max_error_gt_half_margin,bound_rate_positive_margin,decision_error_rate,decision_accuracy,strict_top1_accuracy,mean_regret,episodes,states
4,101,0.10656566917896271,0.27544617652893066,0.1291590929031372,0.3868838207226663,0.8250729142150416,0.03371133610245091,0.0,0.20484570539673277,0.8354305937868659,0.13721053594063398,1808.5243096146014,1.233844918789571,1213.2341562964548,0.9699174203696421,0.8172043010752689,0.1274085725521038,0.8725914274478962,0.4701140385371608,0.019203018484621758,5086,4
4,202,0.10174176096916199,0.2468404918909073,0.1186336949467659,0.4121761392945506,0.8576126792208253,0.037579459296482175,0.0,0.22971298573595106,0.8364069006543724,0.13226782414107782,1246.5394367954068,1.2233340199080767,815.8495119066059,0.9637120761451516,0.7781818181818182,0.11302795954788816,0.8869720404521119,0.4925639500297442,0.01637206990667014,5043,4
4,303,0.10376059263944626,0.24383531510829926,0.12221790850162506,0.42553554063061405,0.8489802673891005,0.03505237894336605,0.0,0.21585564239021374,0.8376119402985075,0.13158617031477873,368.19455482369085,1.161347744242162,160.5687594692961,0.9629850746268657,0.7720588235294118,0.11044776119402985,0.8895522388059701,0.4909452736318408,0.016738468654713227,5025,4
4,404,0.10015450417995453,0.2621564567089081,0.1290234625339508,0.38204095919393494,0.776250320778674,0.03505858585051012,0.0,0.23043716324658212,0.8478605388272583,0.1298833973002849,4591.931484688717,1.0615438429637365,4155.731348349455,0.9667194928684627,0.78125,0.11251980982567353,0.8874801901743264,0.4954437400950872,0.020126418994293915,5048,4
4,505,0.11321226507425308,0.27774232625961304,0.1320994645357132,0.40761617647153503,0.8570228915927669,0.036023765073055776,0.0,0.22114958361577045,0.8371067922260068,0.1466638487285073,2906.956901337793,1.181499636705998,1699.7201310833807,0.970146263273893,0.8167281672816729,0.11681025846523743,0.8831897415347626,0.49188539370867557,0.018636687128408845,4991,4
8,101,0.08201688528060913,0.13399311900138855,0.07670120894908905,0.6120977397336291,1.0693036837926295,0.03645458400559922,0.0,0.1157901027176259,0.6851666666666667,0.15181089902296663,116.24189099388663,1.7926898592905325,62.170776868614006,0.982,0.9428268925357332,0.6168333333333333,0.38316666666666666,0.22666666666666668,0.06540551842035104,6000,4
8,202,0.07305239886045456,0.1291835606098175,0.0731920674443245,0.565492997062529,0.9980917524433071,0.03436052659992129,0.0,0.11066192141681573,0.6895,0.14015027625160292,37.489475789688626,1.793365446610446,21.209579233685563,0.9758333333333333,0.9221685453569511,0.5971666666666666,0.4028333333333334,0.23716666666666664,0.057280499004138015,6000,4
8,303,0.07869698852300644,0.1284758597612381,0.07524050027132034,0.6125429996674735,1.0459391981608557,0.035288568967022,0.0,0.11304400096216338,0.6878333333333333,0.15007504743958514,180.43113518191996,1.7766380552522805,90.21953143999193,0.9825,0.9439402028830752,0.6221666666666666,0.37783333333333335,0.22783333333333333,0.06655500922196855,6000,4
8,404,0.07042918354272842,0.1266172081232071,0.07106700539588928,0.556237059611961,0.9910250636057087,0.034404976203727226,0.0,0.1118254914530679,0.6923333333333334,0.13133214808728857,36.779444318256495,1.6007641598238398,21.930590739160742,0.9793333333333333,0.9328277356446371,0.5843333333333334,0.41566666666666663,0.25183333333333335,0.053512103874702004,6000,4
8,505,0.07356710731983185,0.12806200981140137,0.07383234053850174,0.5744647255511225,0.9964076281919902,0.03676549215738972,0.0,0.11579682569256605,0.6825,0.14086564380737643,35.23764481116818,1.6850209105368115,21.78669044841773,0.978,0.9307086614173228,0.6038333333333333,0.39616666666666667,0.23950000000000005,0.06081487439696987,6000,4
