dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
PEMS03,0,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,0,101,pool_all,0.02328683,0.38900000,-1.48400950,16.00000000
PEMS03,0,101,relevance,-0.02571313,0.71150000,-2.84231520,4.00000000
PEMS03,0,101,mmr,-0.01793112,0.65750000,-2.60668397,4.00000000
PEMS03,0,101,static_utility,0.02138392,0.40550000,-1.25877559,4.00000000
PEMS03,0,101,cached_mur,0.02125263,0.35150000,-1.19870973,3.30850000
PEMS03,0,101,oneshot_response,0.02237350,0.50300000,-4.83084202,3.94800000
PEMS03,0,101,oracle_static,0.04733060,0.31700000,-0.06696461,3.93700000
PEMS03,0,101,oracle_greedy,0.06267227,0.00000000,1.00000000,3.67850000
PEMS03,0,101,ranked_response_q4,0.03505044,0.34850000,-0.94687647,3.42700000
PEMS03,11,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,11,101,pool_all,0.03403487,0.36750000,-1.20006311,16.00000000
PEMS03,11,101,relevance,-0.00955124,0.61300000,-0.40732616,4.00000000
PEMS03,11,101,mmr,-0.02750600,0.65000000,-0.73207611,4.00000000
PEMS03,11,101,static_utility,0.02169659,0.40450000,-0.44849989,4.00000000
PEMS03,11,101,cached_mur,0.02184634,0.38200000,-0.32967961,3.57100000
PEMS03,11,101,oneshot_response,0.05122301,0.33350000,-0.76187319,3.86850000
PEMS03,11,101,oracle_static,0.08956751,0.08550000,0.70185143,3.94700000
PEMS03,11,101,oracle_greedy,0.09629590,0.00000000,1.00000000,3.91100000
PEMS03,11,101,ranked_response_q4,0.04625608,0.27850000,-0.27119565,3.32500000
PEMS03,23,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,23,101,pool_all,0.03594885,0.40100000,-0.55457413,16.00000000
PEMS03,23,101,relevance,-0.00525261,0.65450000,-0.55212009,4.00000000
PEMS03,23,101,mmr,0.00702012,0.54650000,-0.42085993,4.00000000
PEMS03,23,101,static_utility,0.02712355,0.43800000,-0.18780521,4.00000000
PEMS03,23,101,cached_mur,0.02337998,0.41500000,-0.13496485,3.13850000
PEMS03,23,101,oneshot_response,0.03718581,0.36800000,-0.38816562,2.98250000
PEMS03,23,101,oracle_static,0.09230753,0.05250000,0.78722900,3.96100000
PEMS03,23,101,oracle_greedy,0.09719971,0.00000000,1.00000000,3.94450000
PEMS03,23,101,ranked_response_q4,0.03218413,0.27900000,-0.11787484,2.53600000
PEMS03,34,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,34,101,pool_all,0.00619419,0.38700000,-0.73384297,16.00000000
PEMS03,34,101,relevance,-0.00152611,0.65000000,-0.95741779,4.00000000
PEMS03,34,101,mmr,-0.00358110,0.65000000,-1.36041725,4.00000000
PEMS03,34,101,static_utility,0.00384794,0.44500000,-0.43290865,4.00000000
PEMS03,34,101,cached_mur,0.00289645,0.44450000,-0.49655399,3.70700000
PEMS03,34,101,oneshot_response,0.01099612,0.36550000,-0.82065523,3.76650000
PEMS03,34,101,oracle_static,0.02158000,0.12750000,0.58611530,3.97950000
PEMS03,34,101,oracle_greedy,0.02304786,0.00000000,1.00000000,3.90100000
PEMS03,34,101,ranked_response_q4,0.01062205,0.30600000,-0.38887012,3.37950000
PEMS03,46,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,46,101,pool_all,0.00373304,0.43300000,-1.12693250,16.00000000
PEMS03,46,101,relevance,-0.00074647,0.63550000,-0.90008420,4.00000000
PEMS03,46,101,mmr,-0.00530856,0.63450000,-1.64440715,4.00000000
PEMS03,46,101,static_utility,0.00120080,0.48750000,-1.47677934,4.00000000
PEMS03,46,101,cached_mur,0.00173810,0.40150000,-0.75808489,2.45300000
PEMS03,46,101,oneshot_response,0.01127442,0.36200000,-2.23974800,3.92000000
PEMS03,46,101,oracle_static,0.01985316,0.15150000,0.49607950,3.95050000
PEMS03,46,101,oracle_greedy,0.02166987,0.00000000,1.00000000,3.86250000
PEMS03,46,101,ranked_response_q4,0.00859873,0.29900000,-0.92477864,2.86400000
PEMS03,57,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,57,101,pool_all,0.00257894,0.43950000,-0.66048449,16.00000000
PEMS03,57,101,relevance,-0.00197286,0.62900000,-0.51441455,4.00000000
PEMS03,57,101,mmr,-0.00365649,0.61400000,-0.73315769,4.00000000
PEMS03,57,101,static_utility,-0.00075325,0.49050000,-0.72603786,4.00000000
PEMS03,57,101,cached_mur,-0.00096077,0.40650000,-0.55486870,2.75000000
PEMS03,57,101,oneshot_response,0.00978784,0.36050000,-1.45864916,2.95800000
PEMS03,57,101,oracle_static,0.03712247,0.08050000,0.71452808,3.97300000
PEMS03,57,101,oracle_greedy,0.03841974,0.00000000,1.00000000,3.94050000
PEMS03,57,101,ranked_response_q4,0.00543277,0.29800000,-0.65105641,2.10050000
PEMS03,69,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,69,101,pool_all,0.03157757,0.33900000,-0.45880622,16.00000000
PEMS03,69,101,relevance,-0.00709141,0.64950000,-0.52482063,4.00000000
PEMS03,69,101,mmr,0.00356350,0.58100000,-0.53101134,4.00000000
PEMS03,69,101,static_utility,0.00975671,0.43300000,-0.22429544,4.00000000
PEMS03,69,101,cached_mur,0.00972229,0.37150000,-0.22907358,2.78500000
PEMS03,69,101,oneshot_response,0.03448934,0.36800000,-0.47209281,3.94400000
PEMS03,69,101,oracle_static,0.07234459,0.07650000,0.71008348,3.97050000
PEMS03,69,101,oracle_greedy,0.07886246,0.00000000,1.00000000,3.95350000
PEMS03,69,101,ranked_response_q4,0.02874184,0.33200000,-0.17881390,3.39950000
PEMS03,80,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,80,101,pool_all,0.03077960,0.31300000,-0.45082453,16.00000000
PEMS03,80,101,relevance,-0.03739879,0.70050000,-1.83844674,4.00000000
PEMS03,80,101,mmr,-0.03041623,0.66600000,-1.66329849,4.00000000
PEMS03,80,101,static_utility,0.01524819,0.36650000,-0.13757034,4.00000000
PEMS03,80,101,cached_mur,0.01241227,0.36650000,-0.19304098,3.79700000
PEMS03,80,101,oneshot_response,0.02451787,0.39250000,-0.87472570,3.95700000
PEMS03,80,101,oracle_static,0.07956436,0.13150000,0.53411454,3.96650000
PEMS03,80,101,oracle_greedy,0.08895506,0.00000000,1.00000000,3.76050000
PEMS03,80,101,ranked_response_q4,0.03099742,0.30650000,-0.34519625,3.56900000
PEMS03,92,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,92,101,pool_all,0.02404108,0.32000000,-0.32389489,16.00000000
PEMS03,92,101,relevance,-0.02095488,0.71850000,-0.76390719,4.00000000
PEMS03,92,101,mmr,-0.01182957,0.67550000,-0.64839232,4.00000000
PEMS03,92,101,static_utility,0.01388203,0.38500000,-0.15942749,4.00000000
PEMS03,92,101,cached_mur,0.01390994,0.34900000,-0.20365454,3.31650000
PEMS03,92,101,oneshot_response,0.01560459,0.47350000,-1.40018809,3.84600000
PEMS03,92,101,oracle_static,0.05902070,0.23800000,0.18236914,3.97300000
PEMS03,92,101,oracle_greedy,0.07320793,0.00000000,1.00000000,3.85800000
PEMS03,92,101,ranked_response_q4,0.02177038,0.33650000,-0.69605738,3.18000000
PEMS03,103,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS03,103,101,pool_all,0.01854230,0.38200000,-1.11217523,16.00000000
PEMS03,103,101,relevance,0.00850608,0.44000000,-0.24942817,4.00000000
PEMS03,103,101,mmr,0.00662438,0.48050000,-0.36340028,4.00000000
PEMS03,103,101,static_utility,0.00932743,0.42100000,-0.40527609,4.00000000
PEMS03,103,101,cached_mur,0.01006547,0.35600000,-0.32441789,3.16050000
PEMS03,103,101,oneshot_response,0.01548201,0.44250000,-1.54366875,3.83750000
PEMS03,103,101,oracle_static,0.04889292,0.13250000,0.58122861,3.97350000
PEMS03,103,101,oracle_greedy,0.05520532,0.00000000,1.00000000,3.92350000
