benchmark,policy,gain,paired_lo,paired_hi,delta_static,ds_lo,ds_hi,delta_cached,dc_lo,dc_hi,class_frac_above_static,mean_selected,mean_distinct_clusters,pass_paired,pass_hier
cifar10,ranked_response_q2,1.620684,1.574979,1.666390,-0.090642,-0.136158,-0.045126,0.011884,-0.043620,0.067388,0.1000,2.708,2.012,False,False
cifar10,ranked_response_q4,1.696493,1.689861,1.703125,-0.014834,-0.020377,-0.009290,0.087692,0.035671,0.139714,0.1000,3.433,2.421,False,False
cifar10,ranked_response_q8,1.688938,1.681479,1.696397,-0.022388,-0.028346,-0.016431,0.080138,0.027797,0.132480,0.0000,3.779,2.596,False,False
cifar10,ranked_response_full,1.660319,1.650309,1.670328,-0.051008,-0.058730,-0.043286,0.051518,-0.001809,0.104846,0.0000,3.921,2.312,False,False
cifar10,ranked_response_q2_forced,1.700514,1.693784,1.707244,-0.010813,-0.016056,-0.005569,0.091714,0.039516,0.143911,0.1000,4.000,2.583,False,False
cifar10,ranked_response_q4_forced,1.696121,1.689453,1.702789,-0.015206,-0.020724,-0.009687,0.087321,0.035293,0.139348,0.1000,4.000,2.754,False,False
cifar10,ranked_response_q8_forced,1.688233,1.680719,1.695746,-0.023094,-0.028846,-0.017341,0.079433,0.027053,0.131812,0.0000,4.000,2.729,False,False
cifar10,ranked_response_full_forced,1.660302,1.650292,1.670313,-0.051024,-0.058746,-0.043302,0.051502,-0.001824,0.104828,0.0000,4.000,2.350,False,False
cifar10,ranked_response_frozen_q2,1.580350,1.522671,1.638030,-0.130976,-0.188447,-0.073505,-0.028450,-0.081428,0.024529,0.1000,2.271,1.425,False,False
cifar10,ranked_response_frozen_q4,1.690734,1.669806,1.711662,-0.020593,-0.041025,-0.000160,0.081933,0.032981,0.130886,0.3000,2.833,1.662,False,False
cifar10,ranked_response_frozen_q8,1.702181,1.694531,1.709832,-0.009145,-0.014816,-0.003475,0.093381,0.040826,0.145936,0.2000,3.242,1.725,False,False
cifar10,ranked_response_frozen_full,1.687579,1.676473,1.698684,-0.023748,-0.032302,-0.015194,0.078778,0.025416,0.132140,0.0000,3.579,1.321,False,False
cifar10,ranked_response_frozen_q2_forced,1.708169,1.701171,1.715166,-0.003158,-0.008535,0.002220,0.099368,0.047175,0.151562,0.4000,4.000,2.325,False,False
cifar10,ranked_response_frozen_q4_forced,1.707399,1.700319,1.714480,-0.003927,-0.009585,0.001731,0.098599,0.046247,0.150952,0.5000,4.000,2.363,False,False
cifar10,ranked_response_frozen_q8_forced,1.703388,1.695471,1.711304,-0.007939,-0.013810,-0.002067,0.094587,0.041990,0.147185,0.4000,4.000,2.167,False,False
cifar10,ranked_response_frozen_full_forced,1.689594,1.678276,1.700913,-0.021732,-0.030496,-0.012968,0.080794,0.027475,0.134113,0.1000,4.000,1.533,False,False
cifar10,ranked_response_bilinear_q2,1.620916,1.575199,1.666634,-0.090410,-0.135925,-0.044895,0.012116,-0.043391,0.067623,0.1000,2.629,1.950,False,False
cifar10,ranked_response_bilinear_q4,1.689814,1.674414,1.705213,-0.021513,-0.036487,-0.006538,0.081014,0.030645,0.131382,0.1000,3.363,2.342,False,False
cifar10,ranked_response_bilinear_q8,1.688678,1.681229,1.696126,-0.022649,-0.028595,-0.016702,0.079877,0.027518,0.132237,0.0000,3.750,2.567,False,False
cifar10,ranked_response_bilinear_full,1.661735,1.651850,1.671619,-0.049592,-0.057225,-0.041959,0.052934,-0.000345,0.106213,0.0000,3.892,2.308,False,False
cifar10,ranked_response_bilinear_q2_forced,1.700582,1.693847,1.707318,-0.010744,-0.015980,-0.005509,0.091782,0.039588,0.143975,0.1000,4.000,2.592,False,False
cifar10,ranked_response_bilinear_q4_forced,1.696235,1.689589,1.702881,-0.015091,-0.020585,-0.009598,0.087435,0.035397,0.139473,0.1000,4.000,2.746,False,False
cifar10,ranked_response_bilinear_q8_forced,1.687862,1.680363,1.695360,-0.023465,-0.029205,-0.017724,0.079062,0.026710,0.131414,0.0000,4.000,2.704,False,False
cifar10,ranked_response_bilinear_full_forced,1.661720,1.651835,1.671604,-0.049607,-0.057238,-0.041976,0.052919,-0.000359,0.106198,0.0000,4.000,2.383,False,False
cifar100,ranked_response_q2,2.528355,2.512846,2.543865,0.004194,-0.015705,0.024093,0.159282,0.107887,0.210676,0.6000,2.883,1.775,False,False
cifar100,ranked_response_q4,2.533298,2.528245,2.538351,0.009136,-0.004103,0.022376,0.164224,0.113450,0.214998,0.4700,3.342,1.973,False,False
cifar100,ranked_response_q8,2.514481,2.508937,2.520025,-0.009681,-0.023077,0.003716,0.145407,0.094465,0.196349,0.2900,3.710,2.042,False,False
cifar100,ranked_response_full,2.476015,2.470448,2.481581,-0.048147,-0.062124,-0.034170,0.106941,0.055513,0.158369,0.1000,3.902,1.793,False,False
cifar100,ranked_response_q2_forced,2.536774,2.531672,2.541877,0.012613,-0.000341,0.025567,0.167701,0.117253,0.218148,0.5500,4.000,2.395,False,False
cifar100,ranked_response_q4_forced,2.532940,2.527875,2.538005,0.008779,-0.004456,0.022013,0.163867,0.113096,0.214637,0.4700,4.000,2.358,False,False
cifar100,ranked_response_q8_forced,2.514049,2.508513,2.519585,-0.010112,-0.023486,0.003261,0.144975,0.094025,0.195926,0.2900,4.000,2.215,False,False
cifar100,ranked_response_full_forced,2.476024,2.470460,2.481589,-0.048137,-0.062112,-0.034162,0.106951,0.055524,0.158378,0.1000,4.000,1.858,False,False
cifar100,ranked_response_frozen_q2,2.434214,2.391632,2.476797,-0.089947,-0.132370,-0.047523,0.065141,0.003524,0.126758,0.5700,3.338,2.223,False,False
cifar100,ranked_response_frozen_q4,2.534333,2.524536,2.544131,0.010172,-0.005493,0.025837,0.165260,0.113790,0.216730,0.5400,3.885,2.585,False,False
cifar100,ranked_response_frozen_q8,2.525982,2.520527,2.531436,0.001820,-0.011452,0.015093,0.156908,0.106238,0.207578,0.3800,3.962,2.592,False,False
cifar100,ranked_response_frozen_full,2.491475,2.485668,2.497283,-0.032686,-0.046627,-0.018745,0.122402,0.071298,0.173506,0.1600,3.987,2.412,False,False
cifar100,ranked_response_frozen_q2_forced,2.534098,2.523554,2.544641,0.009936,-0.005734,0.025607,0.165024,0.115370,0.214678,0.6000,4.000,2.488,False,False
cifar100,ranked_response_frozen_q4_forced,2.538772,2.533587,2.543957,0.014611,0.001474,0.027747,0.169699,0.119026,0.220371,0.5400,4.000,2.648,True,True
cifar100,ranked_response_frozen_q8_forced,2.526253,2.520802,2.531703,0.002091,-0.011174,0.015357,0.157179,0.106515,0.207843,0.3800,4.000,2.617,False,False
cifar100,ranked_response_frozen_full_forced,2.491489,2.485680,2.497297,-0.032673,-0.046613,-0.018732,0.122415,0.071311,0.173519,0.1600,4.000,2.422,False,False
cifar100,ranked_response_bilinear_q2,2.513163,2.487609,2.538717,-0.010998,-0.036315,0.014319,0.144090,0.089786,0.198393,0.6200,2.660,1.745,False,False
cifar100,ranked_response_bilinear_q4,2.546149,2.541650,2.550648,0.021988,0.008702,0.035274,0.177076,0.126075,0.228076,0.6800,3.112,1.995,True,True
cifar100,ranked_response_bilinear_q8,2.532337,2.527250,2.537424,0.008176,-0.005315,0.021666,0.163264,0.112307,0.214220,0.4100,3.518,2.127,False,False
cifar100,ranked_response_bilinear_full,2.498514,2.493079,2.503949,-0.025647,-0.039689,-0.011606,0.129440,0.078005,0.180876,0.1500,3.795,1.932,False,False
cifar100,ranked_response_bilinear_q2_forced,2.544038,2.539372,2.548704,0.019877,0.006888,0.032866,0.174965,0.124394,0.225535,0.6400,4.000,2.453,True,True
cifar100,ranked_response_bilinear_q4_forced,2.545164,2.540658,2.549669,0.021002,0.007722,0.034283,0.176090,0.125124,0.227056,0.6500,4.000,2.497,True,True
cifar100,ranked_response_bilinear_q8_forced,2.531883,2.526794,2.536972,0.007722,-0.005767,0.021211,0.162809,0.111844,0.213775,0.4100,4.000,2.410,False,False
cifar100,ranked_response_bilinear_full_forced,2.498486,2.493051,2.503921,-0.025675,-0.039716,-0.011634,0.129412,0.077976,0.180848,0.1500,4.000,2.063,False,False
dtd,ranked_response_q2,1.998754,1.959587,2.037920,-0.042289,-0.086796,0.002217,0.079921,0.014508,0.145333,0.4043,3.429,1.858,False,False
dtd,ranked_response_q4,2.009879,1.979291,2.040467,-0.031163,-0.067413,0.005086,0.091047,0.023176,0.158917,0.3617,3.677,1.904,False,False
dtd,ranked_response_q8,1.961319,1.931595,1.991043,-0.079724,-0.114886,-0.044562,0.042487,-0.026108,0.111081,0.1489,3.890,1.699,False,False
dtd,ranked_response_full,1.895232,1.870306,1.920158,-0.145810,-0.177222,-0.114399,-0.023600,-0.092478,0.045278,0.0426,3.982,1.174,False,False
dtd,ranked_response_q2_forced,2.042126,2.027685,2.056566,0.001083,-0.022344,0.024510,0.123293,0.063019,0.183567,0.4043,4.000,2.213,False,False
dtd,ranked_response_q4_forced,2.031610,2.016867,2.046353,-0.009433,-0.032815,0.013949,0.112777,0.050997,0.174557,0.3404,4.000,2.096,False,False
dtd,ranked_response_q8_forced,1.984335,1.970264,1.998407,-0.056707,-0.079073,-0.034341,0.065503,0.002696,0.128309,0.1489,4.000,1.777,False,False
dtd,ranked_response_full_forced,1.902863,1.882661,1.923066,-0.138180,-0.165428,-0.110931,-0.015969,-0.083058,0.051119,0.0426,4.000,1.184,False,False
dtd,ranked_response_frozen_q2,2.021472,2.000421,2.042522,-0.019571,-0.048438,0.009296,0.102639,0.044152,0.161126,0.3830,2.496,1.284,False,False
dtd,ranked_response_frozen_q4,2.017369,2.001821,2.032917,-0.023674,-0.047303,-0.000044,0.098537,0.037463,0.159610,0.2553,2.777,1.344,False,False
dtd,ranked_response_frozen_q8,1.975945,1.960577,1.991313,-0.065098,-0.088494,-0.041701,0.057112,-0.005212,0.119436,0.1277,3.188,1.312,False,False
dtd,ranked_response_frozen_full,1.902766,1.888002,1.917531,-0.138277,-0.161250,-0.115303,-0.016066,-0.081789,0.049656,0.0213,3.887,1.326,False,False
dtd,ranked_response_frozen_q2_forced,2.033923,2.019025,2.048821,-0.007120,-0.031291,0.017052,0.115091,0.055274,0.174907,0.4043,4.000,2.184,False,False
dtd,ranked_response_frozen_q4_forced,2.018234,2.002868,2.033599,-0.022809,-0.046329,0.000710,0.099401,0.038806,0.159996,0.2766,4.000,2.060,False,False
dtd,ranked_response_frozen_q8_forced,1.975809,1.960575,1.991043,-0.065234,-0.088575,-0.041893,0.056976,-0.005335,0.119287,0.1489,4.000,1.723,False,False
dtd,ranked_response_frozen_full_forced,1.901258,1.886469,1.916046,-0.139785,-0.162768,-0.116803,-0.017575,-0.083341,0.048191,0.0213,4.000,1.340,False,False
dtd,ranked_response_bilinear_q2,1.973897,1.924730,2.023063,-0.067146,-0.120710,-0.013582,0.055064,-0.010104,0.120232,0.4894,3.248,1.823,False,False
dtd,ranked_response_bilinear_q4,2.007522,1.973985,2.041060,-0.033520,-0.072334,0.005293,0.088690,0.019829,0.157550,0.3617,3.539,1.869,False,False
dtd,ranked_response_bilinear_q8,1.974691,1.948623,2.000759,-0.066352,-0.097910,-0.034793,0.055858,-0.010977,0.122693,0.1915,3.855,1.766,False,False
dtd,ranked_response_bilinear_full,1.875781,1.838771,1.912792,-0.165261,-0.207966,-0.122557,-0.043051,-0.117799,0.031696,0.0638,3.968,1.280,False,False
dtd,ranked_response_bilinear_q2_forced,2.043640,2.029539,2.057742,0.002598,-0.020649,0.025844,0.124808,0.064513,0.185102,0.4468,4.000,2.230,False,False
dtd,ranked_response_bilinear_q4_forced,2.036607,2.022388,2.050826,-0.004436,-0.027990,0.019118,0.117774,0.056592,0.178956,0.3830,4.000,2.110,False,False
