benchmark,class_index,episodes,oracle_greedy_gain,oracle_static_gain,static_utility_gain,cached_mur_gain,ranked_response_q4_gain,relevance_gain,random_gain,pool_all_gain,delta_static,delta_cached
cifar10,0,24,0.096512,0.096497,0.031954,0.023120,0.051903,0.096071,0.043394,0.102245,0.019950,0.028784
cifar10,1,24,0.019415,0.019411,0.011388,-0.000571,0.015365,0.019357,0.004478,0.016212,0.003977,0.015936
cifar10,2,24,0.117946,0.117923,0.095967,0.068045,0.101114,0.117446,0.055663,0.134700,0.005147,0.033069
cifar10,3,24,0.191654,0.191652,0.035632,0.014300,0.076356,0.190926,0.095065,0.194434,0.040724,0.062056
cifar10,4,24,0.090845,0.090824,0.017630,0.031513,0.035272,0.089914,0.059606,0.092493,0.017642,0.003759
cifar10,5,24,0.226922,0.226917,0.173193,0.172574,0.198339,0.226105,0.131933,0.247354,0.025146,0.025765
cifar10,6,24,0.068196,0.068195,0.022562,0.038372,0.043831,0.068022,0.037018,0.079834,0.021269,0.005458
cifar10,7,24,0.094576,0.094572,0.075316,0.046732,0.076922,0.093209,0.064030,0.097949,0.001606,0.030190
cifar10,8,24,0.029867,0.029764,0.010587,0.020453,0.025003,0.029675,0.019340,0.035891,0.014416,0.004550
cifar10,9,24,0.044576,0.044576,0.008129,0.018229,0.018740,0.044441,0.024820,0.041075,0.010611,0.000511
cifar100,0,6,0.250511,0.250468,0.128402,0.097133,0.145931,0.250459,0.238949,0.250875,0.017530,0.048798
cifar100,1,6,0.433489,0.433463,0.393666,0.291317,0.363689,0.432483,0.312193,0.440851,-0.029978,0.072371
cifar100,2,6,0.638379,0.638354,0.569720,0.585965,0.525621,0.637968,0.557732,0.649583,-0.044099,-0.060344
cifar100,3,6,0.730549,0.730498,0.721138,0.667900,0.686707,0.730290,0.670193,0.730799,-0.034431,0.018807
cifar100,4,6,1.916514,1.916514,1.915869,1.783905,1.752446,1.915718,1.447898,1.924603,-0.163423,-0.031459
cifar100,5,6,0.252237,0.252162,0.236964,0.244290,0.243527,0.251662,0.194733,0.257593,0.006563,-0.000764
cifar100,6,6,0.635598,0.635397,0.164733,0.295836,0.237987,0.635255,0.547231,0.661422,0.073253,-0.057850
cifar100,7,6,0.824548,0.824471,0.822017,0.804549,0.743677,0.823622,0.532967,0.833710,-0.078340,-0.060871
cifar100,8,6,0.133953,0.133891,0.086383,0.107116,0.066446,0.133863,0.121708,0.134509,-0.019936,-0.040669
cifar100,9,6,0.175850,0.175847,0.128739,0.158983,0.141371,0.175808,0.140936,0.176376,0.012632,-0.017612
cifar100,10,6,1.120767,1.120750,1.105499,0.985886,0.980153,1.120223,1.032737,1.127173,-0.125346,-0.005733
cifar100,11,6,0.868440,0.868410,0.856544,0.859547,0.796412,0.868316,0.863245,0.869528,-0.060132,-0.063135
cifar100,12,6,0.357058,0.357015,0.309130,0.345623,0.208720,0.356906,0.309956,0.363598,-0.100410,-0.136903
cifar100,13,6,0.681791,0.681763,0.437462,0.498916,0.463197,0.681626,0.589534,0.681683,0.025735,-0.035719
cifar100,14,6,0.798940,0.798908,0.656362,0.277960,0.508090,0.796873,0.476395,0.824494,-0.148272,0.230130
cifar100,15,6,0.526832,0.526810,0.345518,0.233517,0.384735,0.526564,0.446013,0.543730,0.039217,0.151218
cifar100,16,6,0.422930,0.422908,0.304687,0.348038,0.207299,0.422759,0.355869,0.425033,-0.097388,-0.140739
cifar100,17,6,0.297852,0.297840,0.120592,0.069881,0.102320,0.297296,0.238497,0.330255,-0.018272,0.032439
cifar100,18,6,0.669738,0.669707,0.617062,0.361234,0.561308,0.669365,0.584592,0.681460,-0.055755,0.200073
cifar100,19,6,0.773209,0.773172,0.678576,0.711089,0.483954,0.771793,0.703741,0.788725,-0.194623,-0.227136
cifar100,20,6,0.175539,0.175493,0.106932,0.080397,0.119978,0.175316,0.119226,0.146525,0.013046,0.039581
cifar100,21,6,0.141320,0.141269,0.131722,0.091062,0.083108,0.141237,0.137414,0.141611,-0.048615,-0.007954
cifar100,22,6,0.343162,0.343156,0.173614,0.214592,0.137174,0.343117,0.336984,0.344159,-0.036440,-0.077419
cifar100,23,6,0.438667,0.438649,0.272154,0.348838,0.358877,0.438396,0.377233,0.445053,0.086722,0.010039
cifar100,24,6,0.233783,0.233686,0.233346,0.227173,0.211535,0.233622,0.172511,0.234659,-0.021812,-0.015639
cifar100,25,6,0.882728,0.882653,0.803980,0.680497,0.548289,0.882177,0.686089,0.900224,-0.255691,-0.132208
cifar100,26,6,0.812568,0.812566,0.812054,0.788184,0.747941,0.811865,0.690083,0.818452,-0.064113,-0.040243
cifar100,27,6,0.683678,0.683676,0.661081,0.680154,0.636240,0.683437,0.657890,0.685048,-0.024842,-0.043914
cifar100,28,6,0.636021,0.635995,0.481820,0.289853,0.366579,0.635877,0.581228,0.639848,-0.115241,0.076727
cifar100,29,6,0.937061,0.937038,0.545990,0.888127,0.833602,0.936755,0.852027,0.940278,0.287612,-0.054524
cifar100,30,6,1.284068,1.284023,1.283178,1.066870,1.062749,1.283599,1.177575,1.296836,-0.220429,-0.004121
cifar100,31,6,0.643259,0.643258,0.547828,0.460966,0.523091,0.642036,0.567613,0.656950,-0.024737,0.062125
cifar100,32,6,1.146666,1.145908,1.055749,1.084135,1.037939,1.145321,0.788557,1.161321,-0.017810,-0.046195
cifar100,33,6,1.241446,1.241414,1.125907,1.156451,1.064039,1.240867,1.218805,1.243048,-0.061869,-0.092412
cifar100,34,6,0.353776,0.353765,0.227200,0.015140,-0.027724,0.353399,0.306679,0.356246,-0.254924,-0.042864
cifar100,35,6,0.694847,0.694812,0.653111,0.678159,0.629810,0.694697,0.645377,0.696003,-0.023301,-0.048349
cifar100,36,6,0.547573,0.547539,0.545317,0.446402,0.454999,0.547492,0.427488,0.548226,-0.090318,0.008597
cifar100,37,6,0.396350,0.396347,0.387563,0.393579,0.379764,0.396336,0.233979,0.396593,-0.007799,-0.013815
cifar100,38,6,0.640668,0.640666,0.585992,0.498706,0.546941,0.640357,0.601543,0.648037,-0.039050,0.048235
cifar100,39,6,0.375422,0.375397,0.142085,0.111070,0.250834,0.375352,0.299005,0.376359,0.108749,0.139764
cifar100,40,6,0.762907,0.762833,0.682442,0.321436,0.359014,0.762316,0.602282,0.768773,-0.323428,0.037578
cifar100,41,6,0.234772,0.234770,0.161422,0.124763,0.157037,0.234739,0.195127,0.235289,-0.004385,0.032274
cifar100,42,6,0.967804,0.967755,0.964659,0.936072,0.856347,0.967359,0.901730,0.981636,-0.108312,-0.079724
cifar100,43,6,0.219757,0.220970,0.166545,0.141621,0.149742,0.220449,0.193287,0.238070,-0.016803,0.008121
cifar100,44,6,1.155072,1.154170,0.968877,0.926071,0.731206,1.152863,0.675409,1.173377,-0.237670,-0.194865
cifar100,45,6,1.321702,1.321666,1.245499,1.119227,1.154349,1.320375,1.073970,1.324402,-0.091150,0.035122
