benchmark,class_index,episodes,oracle_greedy_gain,oracle_static_gain,static_utility_gain,cached_mur_gain,ranked_response_q4_gain,relevance_gain,random_gain,pool_all_gain,delta_static,delta_cached
cifar100,46,6,0.514456,0.514447,0.455156,0.488461,0.359663,0.513991,0.462271,0.522882,-0.095493,-0.128798
cifar100,47,6,0.806478,0.806408,0.803929,0.798328,0.713026,0.806396,0.803927,0.805971,-0.090904,-0.085302
cifar100,48,6,0.051533,0.051529,0.038094,0.023793,0.020065,0.051522,0.038112,0.051608,-0.018029,-0.003729
cifar100,49,6,0.206880,0.206862,0.111678,0.112154,0.145198,0.206856,0.169752,0.206738,0.033519,0.033044
cifar100,50,6,1.299424,1.299393,1.299071,1.193962,1.202925,1.299004,1.179546,1.301643,-0.096146,0.008963
cifar100,51,6,0.590697,0.590656,0.217607,0.452898,0.415107,0.589063,0.330592,0.554632,0.197500,-0.037791
cifar100,52,6,1.228127,1.228100,1.228056,1.159715,1.213297,1.228076,1.028443,1.229145,-0.014758,0.053582
cifar100,53,6,0.153343,0.153275,0.134643,0.084657,0.105026,0.153270,0.150455,0.153405,-0.029618,0.020369
cifar100,54,6,0.784558,0.784536,0.760508,0.551907,0.691485,0.784316,0.615308,0.782388,-0.069023,0.139578
cifar100,55,6,1.092044,1.092007,1.091330,1.013011,0.957184,1.091734,0.969938,1.104478,-0.134146,-0.055826
cifar100,56,6,0.452204,0.452188,0.450900,0.437020,0.383509,0.452158,0.401549,0.451167,-0.067391,-0.053511
cifar100,57,6,0.474193,0.474092,0.368693,0.186044,0.340223,0.473953,0.363196,0.474505,-0.028470,0.154179
cifar100,58,6,0.097824,0.097813,0.065192,0.086090,0.048038,0.097769,0.075620,0.098151,-0.017154,-0.038051
cifar100,59,6,1.024507,1.024499,1.022659,0.987688,0.969645,1.024335,0.958931,1.028559,-0.053014,-0.018043
cifar100,60,6,0.453577,0.453526,0.300189,0.438569,0.348412,0.453513,0.394417,0.453559,0.048222,-0.090157
cifar100,61,6,1.030115,1.029789,0.744407,0.865353,0.823366,1.029151,0.843316,1.066787,0.078959,-0.041987
cifar100,62,6,1.076275,1.076225,1.027245,0.931521,0.953395,1.074704,0.705515,1.114450,-0.073851,0.021874
cifar100,63,6,1.401447,1.401386,1.401137,1.378278,1.323349,1.400926,1.307749,1.401906,-0.077788,-0.054929
cifar100,64,6,1.636546,1.636543,1.626832,1.590248,1.490736,1.635837,1.465900,1.641725,-0.136095,-0.099511
cifar100,65,6,0.798780,0.798777,0.757549,0.388234,0.710193,0.797877,0.698847,0.795596,-0.047357,0.321958
cifar100,66,6,1.074588,1.074588,1.068506,0.988026,0.940888,1.073347,0.999535,1.078205,-0.127618,-0.047138
cifar100,67,6,1.142795,1.142788,1.119266,0.777191,1.045031,1.141623,1.080037,1.164312,-0.074235,0.267840
cifar100,68,6,0.154128,0.154041,0.120299,0.129220,0.113135,0.154023,0.147820,0.154127,-0.007164,-0.016085
cifar100,69,6,0.332154,0.332137,0.123902,0.281901,0.208914,0.331155,0.280193,0.347209,0.085012,-0.072987
cifar100,70,6,0.383183,0.380877,0.366297,0.347065,0.233916,0.380639,0.357708,0.391000,-0.132381,-0.113149
cifar100,71,6,0.315677,0.315600,0.285194,0.202910,0.306305,0.315594,0.308085,0.315786,0.021111,0.103395
cifar100,72,6,1.098241,1.097810,1.097270,1.084828,1.081782,1.097638,1.086731,1.099224,-0.015488,-0.003046
cifar100,73,6,0.721691,0.721682,0.668529,0.672020,0.633915,0.721543,0.633908,0.722850,-0.034614,-0.038105
cifar100,74,6,1.341569,1.341568,1.341325,1.326064,1.253067,1.341404,1.311878,1.342666,-0.088258,-0.072997
cifar100,75,6,0.877572,0.877551,0.287225,0.426960,0.416331,0.876919,0.636949,0.877547,0.129106,-0.010628
cifar100,76,6,0.237690,0.237690,-0.005427,0.236678,0.182608,0.237681,0.236498,0.237798,0.188035,-0.054070
cifar100,77,6,1.160210,1.160173,1.139123,1.090994,0.860642,1.159336,0.691162,1.166669,-0.278481,-0.230352
cifar100,78,6,0.555186,0.554814,0.547161,0.481126,0.463642,0.554766,0.509611,0.559635,-0.083519,-0.017484
cifar100,79,6,0.361819,0.361809,0.359813,0.339733,0.309513,0.361582,0.278329,0.363541,-0.050300,-0.030220
cifar100,80,6,0.932618,0.932617,0.909221,0.787655,0.105810,0.932090,0.856774,0.935318,-0.803411,-0.681845
cifar100,81,6,0.539402,0.539275,0.532399,0.537297,0.507126,0.539236,0.526533,0.541052,-0.025273,-0.030170
cifar100,82,6,0.188221,0.188212,0.159156,0.147992,0.103428,0.188012,0.161616,0.206760,-0.055729,-0.044564
cifar100,83,6,0.415164,0.415155,0.258999,0.188677,0.290156,0.415058,0.399460,0.417023,0.031156,0.101479
cifar100,84,6,0.448269,0.448265,0.430992,0.446980,0.433779,0.448225,0.279647,0.448564,0.002786,-0.013202
cifar100,85,6,0.239259,0.239249,0.103569,0.176393,0.182319,0.239194,0.141026,0.243458,0.078749,0.005926
cifar100,86,6,0.356376,0.356337,0.288868,0.155192,0.195502,0.356220,0.320564,0.360839,-0.093365,0.040310
cifar100,87,6,0.442042,0.441985,0.256103,0.325256,0.230617,0.440805,0.372056,0.459992,-0.025486,-0.094639
cifar100,88,6,0.611926,0.611922,0.594971,0.581650,0.549931,0.611890,0.598684,0.611731,-0.045039,-0.031718
cifar100,89,6,0.218781,0.218731,0.061715,0.115270,0.094555,0.218303,0.113775,0.227699,0.032841,-0.020714
cifar100,90,6,0.415693,0.415622,0.411063,0.414865,0.407832,0.415614,0.376207,0.415703,-0.003232,-0.007033
cifar100,91,6,0.918630,0.918590,0.737328,0.420040,0.378205,0.918067,0.817237,0.929284,-0.359123,-0.041835
cifar100,92,6,0.730939,0.730860,0.713263,0.729737,0.725880,0.730837,0.712000,0.731488,0.012618,-0.003856
cifar100,93,6,1.142692,1.142662,1.142338,1.093278,1.041620,1.141365,1.061409,1.159297,-0.100718,-0.051659
cifar100,94,6,0.331072,0.331071,0.328106,0.271656,0.308875,0.331040,0.290894,0.330855,-0.019231,0.037219
cifar100,95,6,0.796570,0.796447,0.655580,0.631978,0.319918,0.795743,0.669280,0.814921,-0.335662,-0.312060
cifar100,96,6,1.293521,1.293513,1.290105,1.266994,1.205197,1.293449,1.114975,1.296044,-0.084908,-0.061797
cifar100,97,6,0.403560,0.403304,0.349296,0.261875,0.366609,0.403214,-0.009030,0.409233,0.017313,0.104734
cifar100,98,6,0.400167,0.400067,0.083565,0.173724,0.308718,0.399644,0.367240,0.408761,0.225153,0.134994
cifar100,99,6,0.530722,0.530717,0.393169,0.028357,0.474903,0.529740,0.470256,0.536109,0.081734,0.446546
dtd,0,6,1.588731,1.588560,1.252993,1.029435,0.709791,1.579893,1.144113,1.713687,-0.543202,-0.319644
dtd,1,6,2.979951,2.979698,1.497171,2.384504,0.553684,2.971738,1.750552,3.322053,-0.943487,-1.830820
dtd,2,6,1.556217,1.556044,0.729294,0.885871,0.000000,1.549760,1.056709,1.675694,-0.729294,-0.885871
dtd,3,6,0.275935,0.275860,0.114496,0.165771,0.091607,0.275600,0.208954,0.388730,-0.022888,-0.074164
dtd,4,6,1.675357,1.675356,0.991539,0.807134,0.875691,1.670462,0.705994,1.994640,-0.115849,0.068557
dtd,5,6,0.318976,0.318929,0.145726,0.177254,0.037782,0.317353,0.145404,0.345302,-0.107945,-0.139472
dtd,6,6,0.002268,0.002265,0.002128,0.001741,0.001797,0.002263,0.002019,0.002194,-0.000331,0.000057
dtd,7,6,0.791033,0.790925,0.337958,0.611787,0.121397,0.789204,0.258576,0.939175,-0.216560,-0.490389
dtd,8,6,1.780443,1.780272,1.035699,1.017967,0.752433,1.747434,0.841901,1.942860,-0.283266,-0.265534
dtd,9,6,0.187209,0.187193,0.145871,0.143576,0.097169,0.187076,0.135231,0.197275,-0.048701,-0.046407
dtd,10,6,0.980308,0.980304,0.639066,0.468755,0.565643,0.979998,0.797464,1.123609,-0.073423,0.096888
dtd,11,6,1.212753,1.212703,0.649334,0.855123,0.765987,1.212214,1.099224,1.265439,0.116653,-0.089136
dtd,12,6,0.964726,0.964666,0.633079,0.391484,0.184409,0.959708,0.634885,1.112728,-0.448670,-0.207075
dtd,13,6,0.829932,0.829676,0.306166,0.063678,0.107809,0.826204,0.455690,0.954431,-0.198357,0.044131
dtd,14,6,0.122075,0.122075,0.093397,0.108307,0.082884,0.122006,0.094032,0.123026,-0.010513,-0.025423
dtd,15,6,0.866489,0.866488,0.754708,0.664185,0.639371,0.865502,0.600283,0.948156,-0.115336,-0.024813
dtd,16,6,2.244829,2.244829,1.475679,1.710259,0.251582,2.230551,1.163274,2.609615,-1.224097,-1.458677
dtd,17,6,1.986679,1.986536,1.058382,1.098227,1.197655,1.977905,1.411158,2.362728,0.139273,0.099428
dtd,18,6,0.603445,0.603445,0.410254,0.162888,0.250729,0.600599,0.399047,0.647360,-0.159525,0.087841
dtd,19,6,0.827987,0.827912,0.446509,0.224028,0.212122,0.825925,0.621608,0.959897,-0.234388,-0.011907
dtd,20,6,0.305531,0.305484,0.223636,0.155305,0.218942,0.305196,0.237747,0.316130,-0.004694,0.063637
dtd,21,6,0.397354,0.397352,0.262308,0.280162,0.212795,0.396153,0.282905,0.461765,-0.049514,-0.067367
dtd,22,6,0.786588,0.786436,0.566615,0.560001,0.143422,0.784989,0.677316,0.845580,-0.423193,-0.416578
dtd,23,6,0.979624,0.979543,0.521302,0.620874,0.387040,0.978830,0.582343,1.047109,-0.134262,-0.233834
dtd,24,6,0.789504,0.789421,0.397116,0.412780,0.144762,0.786690,0.517084,0.981502,-0.252355,-0.268018
dtd,25,6,1.305854,1.305765,0.948663,1.106737,0.173771,1.305120,0.659106,1.431568,-0.774892,-0.932967
dtd,26,6,0.105278,0.105275,0.082120,0.076926,0.086922,0.105216,0.087032,0.109970,0.004802,0.009995
dtd,27,6,1.236977,1.236966,0.851693,0.772946,0.721183,1.236483,0.704780,1.329305,-0.130510,-0.051763
dtd,28,6,1.353405,1.353405,0.250733,1.013329,0.491841,1.345157,0.957479,1.490252,0.241109,-0.521487
dtd,29,6,1.582999,1.582959,0.870228,0.694902,0.267747,1.579720,1.140021,1.658043,-0.602481,-0.427155
dtd,30,6,1.461257,1.461220,1.278978,1.326362,1.025915,1.459830,1.303805,1.502023,-0.253063,-0.300447
dtd,31,6,1.673708,1.673587,1.293538,1.019928,0.462896,1.669648,1.006733,1.959288,-0.830642,-0.557032
dtd,32,6,0.448192,0.448192,0.304913,0.091310,0.099816,0.447240,0.331480,0.474318,-0.205098,0.008506
dtd,33,6,0.066045,0.066045,0.055059,0.047300,0.045926,0.065949,0.062778,0.066826,-0.009133,-0.001374
dtd,34,6,1.159505,1.159330,0.659874,0.792847,0.000000,1.158233,0.763608,1.189737,-0.659874,-0.792847
dtd,35,6,1.483606,1.483513,0.832361,0.971632,0.408511,1.482233,1.005219,1.634423,-0.423850,-0.563121
dtd,36,6,1.352914,1.352914,0.751182,0.896230,0.420902,1.352089,0.880926,1.565116,-0.330280,-0.475328
dtd,37,6,1.704779,1.704675,0.427433,1.292096,0.212225,1.699785,0.537724,1.975043,-0.215208,-1.079870
dtd,38,6,0.595220,0.595179,0.353374,0.327122,0.203603,0.594980,0.473351,0.647267,-0.149771,-0.123519
dtd,39,6,0.771987,0.771987,0.257024,0.262751,0.131685,0.770371,0.449680,0.898200,-0.125340,-0.131066
dtd,40,6,0.571761,0.571698,0.242997,0.349595,0.071483,0.570543,0.292009,0.642554,-0.171513,-0.278112
dtd,41,6,1.436255,1.436239,1.180377,1.391644,0.986717,1.435267,0.948396,1.480461,-0.193659,-0.404926
dtd,42,6,0.823828,0.823678,0.478982,0.529641,0.177223,0.822999,0.591192,0.917744,-0.301758,-0.352418
dtd,43,6,0.713097,0.712977,0.495642,0.323069,0.099979,0.710085,0.417042,0.818662,-0.395663,-0.223090
dtd,44,6,1.596166,1.596031,1.277240,1.242740,0.622645,1.591012,0.740203,1.752313,-0.654595,-0.620095
dtd,45,6,0.816329,0.816224,0.351455,0.671079,0.240243,0.815657,0.608314,0.856160,-0.111212,-0.430836
dtd,46,6,0.348623,0.348517,0.175003,0.244843,0.057351,0.348408,0.271867,0.355570,-0.117652,-0.187491
eurosat,0,24,0.389777,0.389714,0.184499,0.309821,0.259312,0.388820,0.292749,0.411048,0.074814,-0.050508
eurosat,1,24,0.089177,0.089176,0.018306,0.053538,0.053944,0.089165,0.054154,0.089673,0.035638,0.000406
eurosat,2,24,0.218633,0.218174,0.144533,0.098890,0.169471,0.217430,0.131997,0.215867,0.024938,0.070581
eurosat,3,24,0.154583,0.154571,0.054490,0.048840,0.044718,0.153882,0.069336,0.163418,-0.009772,-0.004122
eurosat,4,24,0.046225,0.046223,0.013504,0.022784,0.024709,0.046075,0.022729,0.049181,0.011206,0.001925
eurosat,5,24,0.253280,0.253257,0.184670,0.137537,0.205990,0.251788,0.144961,0.266469,0.021321,0.068453
eurosat,6,24,0.167708,0.167706,0.101054,0.084841,0.123853,0.166373,0.087537,0.192390,0.022799,0.039011
eurosat,7,24,0.039328,0.039326,0.021709,0.003574,0.021531,0.039180,0.026185,0.042928,-0.000178,0.017958
eurosat,8,24,0.266896,0.266869,0.228529,0.234099,0.245071,0.264992,0.183566,0.290694,0.016542,0.010972
eurosat,9,24,0.175179,0.175161,0.122315,0.130862,0.145611,0.174985,0.086280,0.193346,0.023296,0.014749
svhn,0,24,0.884294,0.884234,0.798760,0.766544,0.795223,0.882064,0.682273,0.899350,-0.003537,0.028678
svhn,1,24,0.909425,0.909317,-0.123590,0.320567,0.777013,0.905295,0.455814,0.924129,0.900603,0.456446
svhn,2,24,0.946404,0.946053,0.809605,0.823504,0.905240,0.942764,0.761839,0.951052,0.095635,0.081737
svhn,3,24,0.872101,0.872041,0.846886,0.738068,0.832441,0.867959,0.637575,0.875260,-0.014445,0.094372
svhn,4,24,0.955743,0.955647,0.464112,0.555643,0.898324,0.953893,0.813318,0.962089,0.434212,0.342681
svhn,5,24,0.814774,0.814707,0.795221,0.761307,0.755456,0.812437,0.706170,0.814217,-0.039765,-0.005851
svhn,6,24,1.100064,1.100038,1.091157,0.963556,1.074373,1.098018,0.835447,1.101947,-0.016784,0.110817
svhn,7,24,0.577207,0.577098,0.559496,0.568901,0.539579,0.575808,0.454222,0.579966,-0.019918,-0.029323
svhn,8,24,1.460015,1.459907,1.458744,1.385215,1.424251,1.457832,1.272826,1.465567,-0.034493,0.039036
svhn,9,24,0.834470,0.834436,0.829475,0.804657,0.807188,0.832823,0.566061,0.837042,-0.022287,0.002531
