benchmark,policy,gain,paired_lo,paired_hi,hier_lo,hier_hi,delta_static,ds_lo,ds_hi,ds_hier_lo,ds_hier_hi,delta_cached,dc_lo,dc_hi,dc_hier_lo,dc_hier_hi,class_frac_positive,class_frac_above_static,class_frac_above_cached,pass_paired,pass_hier
cifar10,ranked_response_q2,0.039562,0.025432,0.053692,0.013573,0.074868,-0.008674,-0.016635,-0.000714,-0.020294,0.001553,-0.003715,-0.009860,0.002430,-0.011477,0.004174,1.0000,0.3000,0.3000,False,False
cifar10,ranked_response_q4,0.064284,0.049006,0.079563,0.034535,0.103195,0.016049,0.007489,0.024609,0.005840,0.027650,0.021008,0.013996,0.028020,0.009194,0.035076,1.0000,1.0000,1.0000,True,True
cifar10,ranked_response_q8,0.071555,0.055619,0.087491,0.039396,0.111455,0.023319,0.014350,0.032288,0.011902,0.038139,0.028278,0.019504,0.037053,0.013568,0.047017,1.0000,1.0000,1.0000,True,True
cifar10,ranked_response_full,0.071096,0.055237,0.086956,0.038914,0.111111,0.022860,0.013965,0.031755,0.012125,0.036040,0.027820,0.018936,0.036704,0.013359,0.045376,1.0000,1.0000,0.9000,True,True
cifar100,ranked_response_q2,0.413092,0.370390,0.455793,0.335744,0.495147,-0.163791,-0.195625,-0.131957,-0.214156,-0.120493,-0.124966,-0.154519,-0.095412,-0.170478,-0.086226,0.9400,0.0900,0.1100,False,False
cifar100,ranked_response_q4,0.524716,0.485822,0.563609,0.449968,0.603811,-0.052167,-0.075834,-0.028501,-0.087366,-0.020392,-0.013342,-0.036453,0.009770,-0.047960,0.018066,0.9900,0.2600,0.3500,False,False
cifar100,ranked_response_q8,0.571379,0.535451,0.607308,0.499830,0.649359,-0.005504,-0.022599,0.011592,-0.029348,0.020905,0.033322,0.014214,0.052430,0.006579,0.061770,1.0000,0.3800,0.5500,False,False
cifar100,ranked_response_full,0.566016,0.529124,0.602907,0.494809,0.644353,-0.010867,-0.029840,0.008105,-0.038630,0.018305,0.027958,0.006962,0.048954,-0.001356,0.058393,0.9900,0.3600,0.5300,False,False
dtd,ranked_response_q2,0.224201,0.175131,0.273271,0.150090,0.307380,-0.373869,-0.445731,-0.302007,-0.486164,-0.271831,-0.423589,-0.490853,-0.356325,-0.560291,-0.301759,0.8723,0.0000,0.0426,False,False
dtd,ranked_response_q4,0.332236,0.272124,0.392348,0.237194,0.435336,-0.265834,-0.338762,-0.192906,-0.371578,-0.166715,-0.315554,-0.386511,-0.244597,-0.447995,-0.194603,0.9574,0.0851,0.1915,False,False
dtd,ranked_response_q8,0.394254,0.330019,0.458489,0.291886,0.509100,-0.203816,-0.277368,-0.130264,-0.314707,-0.100635,-0.253536,-0.328845,-0.178226,-0.393049,-0.126480,0.9574,0.1915,0.2553,False,False
dtd,ranked_response_full,0.427241,0.362419,0.492063,0.319724,0.540066,-0.170829,-0.241625,-0.100033,-0.276001,-0.072749,-0.220549,-0.294406,-0.146692,-0.359538,-0.098363,0.9787,0.2128,0.3617,False,False
eurosat,ranked_response_q2,0.100833,0.080396,0.121270,0.054313,0.153574,-0.006528,-0.019752,0.006696,-0.024914,0.011665,-0.011646,-0.021533,-0.001759,-0.041474,0.009772,1.0000,0.5000,0.4000,False,False
eurosat,ranked_response_q4,0.129421,0.107977,0.150865,0.076272,0.187008,0.022060,0.009009,0.035111,0.006431,0.043377,0.016942,0.005721,0.028164,-0.007537,0.040468,1.0000,0.8000,0.8000,True,False
eurosat,ranked_response_q8,0.145163,0.122856,0.167469,0.090088,0.206741,0.037802,0.023097,0.052506,0.017985,0.069550,0.032684,0.022038,0.043330,0.015819,0.051904,1.0000,1.0000,1.0000,True,True
eurosat,ranked_response_full,0.145648,0.123002,0.168294,0.087704,0.211172,0.038287,0.023817,0.052757,0.015670,0.074895,0.033169,0.022626,0.043713,0.015136,0.054331,1.0000,1.0000,1.0000,True,True
svhn,ranked_response_q2,0.769795,0.703740,0.835850,0.620887,0.949415,0.016809,-0.035513,0.069130,-0.082011,0.173059,0.000999,-0.048461,0.050458,-0.055263,0.072952,1.0000,0.2000,0.3000,False,False
svhn,ranked_response_q4,0.880909,0.832756,0.929062,0.751182,1.038169,0.127922,0.064722,0.191123,-0.018348,0.336565,0.112112,0.063734,0.160491,0.023265,0.227270,1.0000,0.3000,0.8000,True,False
svhn,ranked_response_q8,0.892671,0.845643,0.939698,0.761776,1.044271,0.139684,0.074571,0.204797,-0.015729,0.361386,0.123874,0.073787,0.173961,0.025897,0.250277,1.0000,0.4000,0.8000,True,False
svhn,ranked_response_full,0.886095,0.838807,0.933382,0.751594,1.037461,0.133108,0.067270,0.198947,-0.024806,0.358284,0.117299,0.066685,0.167912,0.015934,0.247931,1.0000,0.4000,0.8000,True,False
