environment,benchmark,policy,gain,paired_lo,paired_hi,hier_lo,hier_hi,delta_static,ds_lo,ds_hi,delta_cached,dc_lo,dc_hi,class_frac_above_static,class_frac_above_cached,mean_selected,mean_distinct_clusters,pass_paired,pass_hier
natural_near_duplicates,cifar10,ranked_response_q2,0.054617,0.042655,0.066579,0.034458,0.079237,-0.023817,-0.034919,-0.012715,-0.025045,-0.035595,-0.014496,0.2000,0.1000,2.175,1.325,False,False
natural_near_duplicates,cifar10,ranked_response_q4,0.074095,0.060413,0.087778,0.049187,0.103650,-0.004339,-0.016444,0.007767,-0.005567,-0.015630,0.004496,0.6000,0.2000,3.000,1.838,False,False
natural_near_duplicates,cifar10,ranked_response_q8,0.079629,0.065832,0.093426,0.053024,0.111515,0.001195,-0.010256,0.012646,-0.000033,-0.009504,0.009437,0.6000,0.3000,3.333,1.996,False,False
natural_near_duplicates,cifar10,ranked_response_full,0.079738,0.065879,0.093598,0.052948,0.112270,0.001305,-0.010092,0.012701,0.000076,-0.009592,0.009744,0.6000,0.3000,3.567,2.071,False,False
natural_near_duplicates,cifar10,ranked_response_q2_forced,0.093145,0.077873,0.108416,0.064458,0.123987,0.014711,0.005916,0.023506,0.013482,0.008168,0.018797,0.7000,0.9000,4.000,2.304,True,True
natural_near_duplicates,cifar10,ranked_response_q4_forced,0.097258,0.081414,0.113102,0.067474,0.130234,0.018825,0.008781,0.028868,0.017596,0.010734,0.024458,0.9000,0.9000,4.000,2.421,True,True
natural_near_duplicates,cifar10,ranked_response_q8_forced,0.095355,0.079797,0.110913,0.064114,0.130603,0.016922,0.006917,0.026926,0.015693,0.008269,0.023117,0.8000,0.8000,4.000,2.329,True,True
natural_near_duplicates,cifar10,ranked_response_full_forced,0.089438,0.074689,0.104186,0.059156,0.124007,0.011004,0.000879,0.021129,0.009775,0.001553,0.017997,0.7000,0.6000,4.000,2.321,True,False
natural_near_duplicates,cifar100,ranked_response_q2,0.570987,0.527714,0.614260,0.487551,0.660325,-0.105271,-0.124322,-0.086221,0.010880,-0.018131,0.039892,0.0700,0.4200,1.792,1.235,False,False
natural_near_duplicates,cifar100,ranked_response_q4,0.638349,0.596294,0.680405,0.554262,0.726642,-0.037909,-0.056662,-0.019157,0.078242,0.048198,0.108287,0.2000,0.6400,2.385,1.627,False,False
natural_near_duplicates,cifar100,ranked_response_q8,0.652178,0.610644,0.693713,0.569641,0.738109,-0.024080,-0.042031,-0.006130,0.092072,0.062269,0.121874,0.3000,0.6600,2.680,1.817,False,False
natural_near_duplicates,cifar100,ranked_response_full,0.649862,0.603952,0.695773,0.565476,0.739041,-0.026396,-0.053845,0.001052,0.089755,0.052865,0.126646,0.2800,0.6700,2.882,1.838,False,False
natural_near_duplicates,cifar100,ranked_response_q2_forced,0.691962,0.651212,0.732712,0.607200,0.780075,0.015704,0.005341,0.026066,0.131855,0.105553,0.158157,0.6900,0.9700,4.000,2.338,True,True
natural_near_duplicates,cifar100,ranked_response_q4_forced,0.695473,0.654759,0.736187,0.610389,0.783353,0.019214,0.008766,0.029663,0.135366,0.108774,0.161958,0.7800,0.9600,4.000,2.498,True,True
natural_near_duplicates,cifar100,ranked_response_q8_forced,0.694170,0.653400,0.734939,0.608206,0.781612,0.017911,0.007489,0.028334,0.134063,0.107374,0.160752,0.7400,0.9400,4.000,2.500,True,True
natural_near_duplicates,cifar100,ranked_response_full_forced,0.692375,0.651742,0.733008,0.606919,0.779828,0.016116,0.005677,0.026555,0.132268,0.105531,0.159005,0.6500,0.8700,4.000,2.400,True,True
natural_near_duplicates,dtd,ranked_response_q2,0.153428,0.102185,0.204671,0.078491,0.245988,-0.892496,-0.982422,-0.802570,-0.896006,-0.990698,-0.801313,0.0000,0.0213,0.475,0.312,False,False
natural_near_duplicates,dtd,ranked_response_q4,0.201965,0.143040,0.260890,0.111885,0.310570,-0.843959,-0.933717,-0.754201,-0.847468,-0.942855,-0.752081,0.0213,0.0213,0.631,0.404,False,False
natural_near_duplicates,dtd,ranked_response_q8,0.249139,0.184973,0.313306,0.153440,0.362928,-0.796784,-0.887433,-0.706135,-0.800294,-0.897774,-0.702813,0.0213,0.0213,0.869,0.571,False,False
natural_near_duplicates,dtd,ranked_response_full,0.296718,0.223627,0.369809,0.187221,0.430573,-0.749206,-0.840629,-0.657783,-0.752716,-0.850639,-0.654792,0.0213,0.0213,1.078,0.645,False,False
natural_near_duplicates,dtd,ranked_response_q2_forced,1.110956,1.017284,1.204629,0.903944,1.314797,0.065033,0.029212,0.100853,0.061523,0.043043,0.080002,0.7234,0.8723,4.000,2.394,True,True
natural_near_duplicates,dtd,ranked_response_q4_forced,1.112056,1.019432,1.204681,0.911723,1.311797,0.066133,0.029542,0.102724,0.062623,0.035733,0.089513,0.6596,0.6596,4.000,2.401,True,True
natural_near_duplicates,dtd,ranked_response_q8_forced,1.065037,0.972330,1.157745,0.866239,1.260262,0.019113,-0.025188,0.063414,0.015604,-0.022260,0.053467,0.5319,0.6383,4.000,2.355,False,False
natural_near_duplicates,dtd,ranked_response_full_forced,0.984139,0.891364,1.076914,0.793931,1.169928,-0.061785,-0.111606,-0.011963,-0.065294,-0.117368,-0.013221,0.3404,0.4894,4.000,2.082,False,False
natural_near_duplicates,eurosat,ranked_response_q2,0.116313,0.094581,0.138044,0.060564,0.183233,-0.034988,-0.048481,-0.021495,-0.021101,-0.036284,-0.005918,0.0000,0.1000,2.288,1.400,False,False
natural_near_duplicates,eurosat,ranked_response_q4,0.145578,0.123355,0.167800,0.084427,0.211383,-0.005723,-0.017531,0.006085,0.008164,-0.006626,0.022954,0.4000,0.6000,3.042,1.925,False,False
natural_near_duplicates,eurosat,ranked_response_q8,0.154369,0.131842,0.176896,0.092810,0.219966,0.003068,-0.008442,0.014578,0.016955,0.001970,0.031940,0.4000,0.8000,3.408,2.192,False,False
natural_near_duplicates,eurosat,ranked_response_full,0.159218,0.136473,0.181963,0.096844,0.223474,0.007918,-0.002770,0.018606,0.021804,0.007170,0.036439,0.7000,0.8000,3.596,2.238,False,False
natural_near_duplicates,eurosat,ranked_response_q2_forced,0.161733,0.137838,0.185629,0.096566,0.230288,0.010433,0.004112,0.016754,0.024320,0.014434,0.034205,0.9000,0.9000,4.000,2.262,True,True
natural_near_duplicates,eurosat,ranked_response_q4_forced,0.168458,0.144656,0.192260,0.103186,0.234833,0.017157,0.009208,0.025106,0.031044,0.018350,0.043738,0.9000,0.9000,4.000,2.417,True,True
natural_near_duplicates,eurosat,ranked_response_q8_forced,0.168098,0.144459,0.191738,0.103219,0.233574,0.016798,0.007388,0.026208,0.030685,0.017052,0.044317,0.7000,0.9000,4.000,2.517,True,True
natural_near_duplicates,eurosat,ranked_response_full_forced,0.166480,0.143077,0.189884,0.102692,0.230799,0.015180,0.005570,0.024789,0.029066,0.015434,0.042698,0.9000,0.8000,4.000,2.433,True,True
natural_near_duplicates,svhn,ranked_response_q2,0.781992,0.712152,0.851832,0.579554,0.992426,0.005336,-0.041086,0.051757,0.006053,-0.043057,0.055163,0.3000,0.1000,2.900,1.971,False,False
natural_near_duplicates,svhn,ranked_response_q4,0.858232,0.804483,0.911980,0.688810,1.045087,0.081575,0.025021,0.138129,0.082292,0.022302,0.142283,0.5000,0.5000,3.421,2.333,True,False
natural_near_duplicates,svhn,ranked_response_q8,0.870459,0.817621,0.923298,0.702595,1.054244,0.093803,0.035914,0.151691,0.094520,0.030788,0.158252,0.6000,0.4000,3.613,2.446,True,False
natural_near_duplicates,svhn,ranked_response_full,0.875827,0.823141,0.928512,0.705294,1.063077,0.099170,0.038946,0.159395,0.099888,0.033969,0.165807,0.6000,0.3000,3.758,2.442,True,False
