environment,benchmark,policy,gain,paired_lo,paired_hi,hier_lo,hier_hi,delta_static,ds_lo,ds_hi,delta_cached,dc_lo,dc_hi,class_frac_above_static,class_frac_above_cached,mean_selected,mean_distinct_clusters,pass_paired,pass_hier
natural_near_duplicates,svhn,ranked_response_q2_forced,0.865302,0.809728,0.920876,0.692203,1.051240,0.088646,0.038330,0.138962,0.089363,0.036778,0.141948,0.9000,0.9000,4.000,2.529,True,True
natural_near_duplicates,svhn,ranked_response_q4_forced,0.880985,0.828047,0.933923,0.713602,1.064526,0.104329,0.043410,0.165248,0.105046,0.042007,0.168085,0.7000,0.8000,4.000,2.608,True,True
natural_near_duplicates,svhn,ranked_response_q8_forced,0.887208,0.834823,0.939593,0.719213,1.069930,0.110552,0.049068,0.172035,0.111269,0.044330,0.178208,0.7000,0.7000,4.000,2.633,True,True
natural_near_duplicates,svhn,ranked_response_full_forced,0.883478,0.831026,0.935930,0.713199,1.067876,0.106822,0.045250,0.168393,0.107539,0.040532,0.174545,0.6000,0.4000,4.000,2.571,True,False
controlled_near_copies,cifar10,ranked_response_q2,0.065987,0.052208,0.079765,0.042450,0.091479,-0.013420,-0.021743,-0.005098,-0.000718,-0.010188,0.008753,0.2000,0.5000,2.450,1.017,False,False
controlled_near_copies,cifar10,ranked_response_q4,0.088008,0.073216,0.102800,0.064581,0.112418,0.008601,0.000775,0.016426,0.021304,0.011039,0.031568,0.8000,0.9000,3.342,1.504,True,False
controlled_near_copies,cifar10,ranked_response_q8,0.091882,0.077201,0.106564,0.067687,0.117198,0.012475,0.004700,0.020250,0.025178,0.013913,0.036443,0.9000,0.9000,3.733,1.683,True,True
controlled_near_copies,cifar10,ranked_response_full,0.091949,0.076665,0.107232,0.065326,0.121356,0.012541,0.004701,0.020381,0.025244,0.013457,0.037031,0.7000,0.7000,3.817,1.625,True,False
controlled_near_copies,cifar10,ranked_response_q2_forced,0.086664,0.072099,0.101228,0.064213,0.111434,0.007256,0.000499,0.014014,0.019959,0.012259,0.027660,0.8000,0.9000,4.000,1.492,True,True
controlled_near_copies,cifar10,ranked_response_q4_forced,0.094331,0.079363,0.109298,0.069331,0.120472,0.014924,0.007814,0.022033,0.027626,0.017445,0.037808,1.0000,0.9000,4.000,1.713,True,True
controlled_near_copies,cifar10,ranked_response_q8_forced,0.094774,0.080011,0.109538,0.070067,0.121129,0.015367,0.008099,0.022635,0.028070,0.017109,0.039031,1.0000,0.9000,4.000,1.783,True,True
controlled_near_copies,cifar10,ranked_response_full_forced,0.092538,0.077285,0.107791,0.065719,0.121881,0.013131,0.005339,0.020922,0.025834,0.014057,0.037610,0.7000,0.7000,4.000,1.683,True,False
controlled_near_copies,cifar100,ranked_response_q2,0.520233,0.475067,0.565400,0.435881,0.609634,-0.152872,-0.179269,-0.126474,0.008792,-0.024421,0.042006,0.0400,0.4600,1.585,0.873,False,False
controlled_near_copies,cifar100,ranked_response_q4,0.630760,0.589572,0.671949,0.546365,0.720777,-0.042344,-0.057040,-0.027649,0.119320,0.088731,0.149908,0.1700,0.6800,2.282,1.247,False,False
controlled_near_copies,cifar100,ranked_response_q8,0.641851,0.599876,0.683827,0.559012,0.728343,-0.031253,-0.051259,-0.011247,0.130411,0.098643,0.162179,0.2300,0.7100,2.635,1.375,False,False
controlled_near_copies,cifar100,ranked_response_full,0.639368,0.593578,0.685158,0.554359,0.728219,-0.033737,-0.062257,-0.005216,0.127927,0.090971,0.164883,0.2500,0.7200,2.775,1.328,False,False
controlled_near_copies,cifar100,ranked_response_q2_forced,0.689984,0.649489,0.730478,0.605202,0.777422,0.016879,0.005590,0.028168,0.178543,0.148873,0.208213,0.6200,0.9800,4.000,1.603,True,True
controlled_near_copies,cifar100,ranked_response_q4_forced,0.695319,0.654667,0.735972,0.609959,0.782482,0.022215,0.010672,0.033757,0.183879,0.153655,0.214103,0.6700,1.0000,4.000,1.802,True,True
controlled_near_copies,cifar100,ranked_response_q8_forced,0.694864,0.654170,0.735559,0.609297,0.782100,0.021760,0.010236,0.033283,0.183424,0.153182,0.213665,0.7000,0.9800,4.000,1.827,True,True
controlled_near_copies,cifar100,ranked_response_full_forced,0.688467,0.647082,0.729851,0.604136,0.774824,0.015362,0.000150,0.030574,0.177026,0.146013,0.208039,0.6100,0.9600,4.000,1.705,True,False
controlled_near_copies,dtd,ranked_response_q2,0.119363,0.068278,0.170447,0.051785,0.205866,-0.898760,-0.990168,-0.807351,-0.844803,-0.940774,-0.748833,0.0000,0.0213,0.351,0.163,False,False
controlled_near_copies,dtd,ranked_response_q4,0.185067,0.123871,0.246262,0.097244,0.293345,-0.833056,-0.925484,-0.740627,-0.779099,-0.880291,-0.677907,0.0000,0.0213,0.532,0.238,False,False
controlled_near_copies,dtd,ranked_response_q8,0.268388,0.194023,0.342753,0.166644,0.397081,-0.749734,-0.844360,-0.655108,-0.695778,-0.801388,-0.590167,0.0000,0.0426,0.926,0.404,False,False
controlled_near_copies,dtd,ranked_response_full,0.288561,0.211593,0.365529,0.180076,0.419468,-0.729561,-0.824068,-0.635054,-0.675605,-0.780908,-0.570302,0.0000,0.0638,1.011,0.408,False,False
controlled_near_copies,dtd,ranked_response_q2_forced,1.096109,1.004074,1.188144,0.894107,1.292653,0.077987,0.033594,0.122380,0.131943,0.092516,0.171370,0.6809,0.9149,4.000,1.429,True,True
controlled_near_copies,dtd,ranked_response_q4_forced,1.088089,0.995005,1.181173,0.888959,1.283728,0.069967,0.021195,0.118738,0.123923,0.077152,0.170694,0.7021,0.8085,4.000,1.550,True,True
controlled_near_copies,dtd,ranked_response_q8_forced,1.058839,0.966091,1.151587,0.860957,1.255685,0.040717,-0.008707,0.090141,0.094673,0.042491,0.146856,0.6170,0.7447,4.000,1.613,False,False
controlled_near_copies,dtd,ranked_response_full_forced,0.959768,0.865882,1.053654,0.768253,1.147734,-0.058354,-0.116957,0.000249,-0.004398,-0.069664,0.060868,0.3830,0.4894,4.000,1.387,False,False
controlled_near_copies,eurosat,ranked_response_q2,0.096195,0.074471,0.117919,0.051515,0.144993,-0.032023,-0.049407,-0.014638,-0.020831,-0.034694,-0.006968,0.2000,0.3000,1.987,0.871,False,False
controlled_near_copies,eurosat,ranked_response_q4,0.136539,0.114610,0.158468,0.077692,0.195294,0.008321,-0.003792,0.020434,0.019513,0.007067,0.031959,0.6000,0.8000,2.983,1.396,False,False
controlled_near_copies,eurosat,ranked_response_q8,0.143971,0.122347,0.165596,0.083235,0.203904,0.015753,0.004155,0.027352,0.026945,0.014685,0.039205,0.6000,0.9000,3.442,1.608,True,False
controlled_near_copies,eurosat,ranked_response_full,0.144047,0.122782,0.165312,0.085159,0.204281,0.015829,0.004399,0.027259,0.027021,0.015024,0.039017,0.7000,0.9000,3.533,1.621,True,False
controlled_near_copies,eurosat,ranked_response_q2_forced,0.147040,0.125029,0.169051,0.085679,0.208855,0.018822,0.008093,0.029551,0.030014,0.020413,0.039614,0.8000,1.0000,4.000,1.512,True,True
controlled_near_copies,eurosat,ranked_response_q4_forced,0.154784,0.132425,0.177142,0.092532,0.218099,0.026566,0.014738,0.038393,0.037757,0.025377,0.050137,0.9000,1.0000,4.000,1.796,True,True
controlled_near_copies,eurosat,ranked_response_q8_forced,0.155010,0.132671,0.177349,0.092339,0.218266,0.026792,0.014868,0.038716,0.037984,0.025421,0.050547,0.9000,1.0000,4.000,1.829,True,True
controlled_near_copies,eurosat,ranked_response_full_forced,0.153606,0.131602,0.175609,0.091254,0.216167,0.025388,0.013475,0.037300,0.036579,0.024235,0.048924,0.9000,1.0000,4.000,1.788,True,True
controlled_near_copies,svhn,ranked_response_q2,0.758102,0.690436,0.825767,0.554492,0.967568,0.015104,-0.049307,0.079515,0.039378,-0.010245,0.089000,0.3000,0.5000,2.917,1.333,False,False
controlled_near_copies,svhn,ranked_response_q4,0.827724,0.766800,0.888648,0.647582,1.021427,0.084727,0.019613,0.149840,0.109000,0.045209,0.172791,0.4000,0.7000,3.275,1.554,True,False
controlled_near_copies,svhn,ranked_response_q8,0.867219,0.814593,0.919845,0.703490,1.047471,0.124221,0.054818,0.193625,0.148495,0.079500,0.217490,0.5000,0.7000,3.558,1.675,True,False
controlled_near_copies,svhn,ranked_response_full,0.870103,0.817568,0.922638,0.702271,1.051291,0.127106,0.056916,0.197296,0.151379,0.079795,0.222963,0.5000,0.7000,3.704,1.642,True,False
controlled_near_copies,svhn,ranked_response_q2_forced,0.861374,0.807606,0.915143,0.694556,1.041091,0.118377,0.050803,0.185951,0.142650,0.080093,0.205208,0.6000,0.9000,4.000,1.721,True,True
controlled_near_copies,svhn,ranked_response_q4_forced,0.883558,0.831019,0.936097,0.713235,1.064826,0.140561,0.068329,0.212793,0.164834,0.091812,0.237857,0.8000,1.0000,4.000,1.817,True,True
controlled_near_copies,svhn,ranked_response_q8_forced,0.883610,0.831153,0.936068,0.716273,1.065019,0.140613,0.067739,0.213487,0.164886,0.092293,0.237479,0.7000,0.9000,4.000,1.829,True,True
controlled_near_copies,svhn,ranked_response_full_forced,0.883603,0.831649,0.935558,0.714408,1.063335,0.140606,0.066903,0.214309,0.164879,0.089808,0.239951,0.5000,0.8000,4.000,1.725,True,False
