redundancy,policy,mean_prediction_gain_mean,mean_prediction_gain_std,mean_utility_recovery_mean,mean_utility_recovery_std,mean_duplicate_selections_mean,mean_duplicate_selections_std,duplicate_selection_rate_mean,duplicate_selection_rate_std,negative_transfer_rate_mean,negative_transfer_rate_std,mean_selected_contexts_mean,mean_selected_contexts_std
0.5,coverage,0.12356859,0.00229314,0.36549234,0.00606370,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mmr,0.17951959,0.00350776,0.51417303,0.00223654,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mur_free_threshold,0.17122103,0.01420961,0.47060988,0.04856612,0.90293333,0.18744101,0.24398889,0.04521996,0.00000000,0.00000000,2.80600000,0.40680162
0.5,mur_interval,0.16763678,0.00449515,0.45730040,0.01667416,0.85413333,0.08514354,0.23312222,0.02184716,0.00000000,0.00000000,2.67746667,0.11465058
0.5,mur_light,0.20769712,0.00292881,0.59575138,0.00727734,1.31066667,0.07978861,0.32770000,0.01994625,0.00000000,0.00000000,3.99973333,0.00059628
0.5,oracle,0.34251511,0.00529443,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,oracle_static,0.25026811,0.00395572,0.72614231,0.00612539,1.64133333,0.02509980,0.41033333,0.00627495,0.00000000,0.00000000,4.00000000,0.00000000
0.5,relevance,0.11487100,0.00252082,0.33951797,0.00636612,0.28000000,0.00767391,0.07000000,0.00191848,0.00000000,0.00000000,4.00000000,0.00000000
0.5,static_utility,0.19838371,0.00441709,0.56753418,0.00883073,1.61760000,0.02549335,0.40440000,0.00637334,0.00000000,0.00000000,4.00000000,0.00000000
