dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
PEMS08,0,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS08,0,303,pool_all,0.03530840,0.36600000,-1.21733665,16.00000000
PEMS08,0,303,relevance,-0.01013645,0.65350000,-0.81872165,4.00000000
PEMS08,0,303,mmr,0.00496617,0.59950000,-0.93923724,4.00000000
PEMS08,0,303,static_utility,0.02727260,0.38300000,-0.40207583,4.00000000
PEMS08,0,303,cached_mur,0.02694656,0.35000000,-0.44971266,3.12900000
PEMS08,0,303,oracle_static,0.05685828,0.17700000,0.39658299,3.96050000
PEMS08,0,303,oracle_greedy,0.06427088,0.00000000,1.00000000,3.86800000
PEMS08,0,303,ranked_response_q4,0.03689809,0.34400000,-0.78240371,3.03400000
PEMS08,5,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS08,5,303,pool_all,0.03082220,0.38400000,-1.13511837,16.00000000
PEMS08,5,303,relevance,0.00508756,0.51900000,-0.28748664,4.00000000
PEMS08,5,303,mmr,0.00998205,0.51050000,-0.32115030,4.00000000
PEMS08,5,303,static_utility,0.02349096,0.39900000,-0.20238516,4.00000000
PEMS08,5,303,cached_mur,0.02392234,0.32900000,-0.12904911,3.43700000
PEMS08,5,303,oracle_static,0.05594821,0.10000000,0.69405246,3.96000000
PEMS08,5,303,oracle_greedy,0.05962108,0.00000000,1.00000000,3.91300000
PEMS08,5,303,ranked_response_q4,0.03326594,0.25600000,-0.23106311,2.66200000
PEMS08,10,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS08,10,303,pool_all,0.02330977,0.41550000,-1.71578968,16.00000000
PEMS08,10,303,relevance,-0.01021621,0.67750000,-0.70240003,4.00000000
PEMS08,10,303,mmr,-0.00421025,0.62200000,-1.05192673,4.00000000
PEMS08,10,303,static_utility,0.01702166,0.42700000,-0.89408064,4.00000000
PEMS08,10,303,cached_mur,0.01710316,0.41300000,-0.71405852,3.29100000
PEMS08,10,303,oracle_static,0.06316091,0.13150000,0.54957336,3.94600000
PEMS08,10,303,oracle_greedy,0.06908696,0.00000000,1.00000000,3.85550000
