dataset,targets,targets_positive_gain,targets_gain_over_static,target_fraction_positive_gain,target_fraction_gain_over_static,H_state_mean,H_state_median,R_oracle_mean,R_deploy_mean
METRLA,32,24,26,0.7500,0.8125,0.0919,0.0788,0.0828,0.0870
PEMSBAY,32,30,31,0.9375,0.9688,0.1212,0.1291,0.3599,0.2227
PEMS03,32,32,32,1.0000,1.0000,0.1174,0.1061,0.4402,0.2604
PEMS04,32,32,31,1.0000,0.9688,0.0841,0.0715,0.5151,0.2696
PEMS07,32,32,32,1.0000,1.0000,0.0849,0.0819,0.4334,0.2845
PEMS08,32,32,31,1.0000,0.9688,0.0741,0.0734,0.5126,0.2338
