harmful_fraction,alpha,policy,mean_prediction_gain_mean,mean_prediction_gain_std,negative_transfer_rate_mean,negative_transfer_rate_std,mean_selected_contexts_mean,mean_selected_contexts_std,positive_selection_precision_mean,positive_selection_precision_std
0.25,0.05,coverage,0.04713973,0.00597989,0.33048000,0.01323148,4.00000000,0.00000000,nan,nan
0.25,0.05,mmr,0.04923488,0.00555936,0.29368000,0.01416305,4.00000000,0.00000000,nan,nan
0.25,0.05,mur_free_threshold,0.07862672,0.00378817,0.00008000,0.00017889,0.34760000,0.02379748,0.74239178,0.02167484
0.25,0.05,mur_interval,0.07217731,0.00599000,0.00008000,0.00017889,0.30904000,0.03849218,0.74565639,0.02130327
0.25,0.05,mur_light,0.27338127,0.00468680,0.03168000,0.00301198,3.96544000,0.02488791,0.64605562,0.00242246
0.25,0.05,oracle,0.40638800,0.00486659,0.00000000,0.00000000,4.00000000,0.00000000,nan,nan
0.25,0.05,oracle_static,0.34504905,0.00485173,0.00000000,0.00000000,4.00000000,0.00000000,nan,nan
0.25,0.05,relevance,0.04923488,0.00555936,0.29368000,0.01416305,4.00000000,0.00000000,nan,nan
0.25,0.05,static_utility,0.27517339,0.00512019,0.03040000,0.00494773,4.00000000,0.00000000,nan,nan
0.5,0.05,coverage,-0.15214698,0.01132375,0.63904000,0.00846451,4.00000000,0.00000000,nan,nan
0.5,0.05,mmr,-0.12133692,0.01000603,0.60216000,0.00850694,4.00000000,0.00000000,nan,nan
0.5,0.05,mur_free_threshold,0.02904656,0.00467686,0.00024000,0.00021909,0.10064000,0.01902546,0.72125160,0.01150470
0.5,0.05,mur_interval,0.04594925,0.00540653,0.00056000,0.00053666,0.18464000,0.03066020,0.71785799,0.01248567
0.5,0.05,mur_light,0.22185560,0.00424067,0.08544000,0.00908889,3.87808000,0.07581736,0.64676130,0.00522936
0.5,0.05,oracle,0.33787415,0.00439748,0.00000000,0.00000000,3.99680000,0.00028284,nan,nan
0.5,0.05,oracle_static,0.31261790,0.00473417,0.00000000,0.00000000,4.00000000,0.00000000,nan,nan
0.5,0.05,relevance,-0.12133692,0.01000603,0.60216000,0.00850694,4.00000000,0.00000000,nan,nan
0.5,0.05,static_utility,0.22790848,0.00384030,0.08040000,0.00854634,4.00000000,0.00000000,nan,nan
0.75,0.05,coverage,-0.36092183,0.00666409,0.87768000,0.00491854,4.00000000,0.00000000,nan,nan
0.75,0.05,mmr,-0.30309535,0.00773400,0.86224000,0.00452195,4.00000000,0.00000000,nan,nan
0.75,0.05,mur_free_threshold,0.03528359,0.00489933,0.00128000,0.00103537,0.13464000,0.02854834,0.83336973,0.03128914
0.75,0.05,mur_interval,0.03652476,0.00255026,0.00120000,0.00120000,0.14040000,0.02192350,0.83187959,0.03135942
0.75,0.05,mur_light,0.11787300,0.00316308,0.22672000,0.00592891,3.50320000,0.04074801,0.53990088,0.00602306
0.75,0.05,oracle,0.21300237,0.00188515,0.00000000,0.00000000,3.45680000,0.00767854,nan,nan
0.75,0.05,oracle_static,0.21300237,0.00188515,0.00000000,0.00000000,3.99768000,0.00059330,nan,nan
0.75,0.05,relevance,-0.30309535,0.00773400,0.86224000,0.00452195,4.00000000,0.00000000,nan,nan
0.75,0.05,static_utility,0.12509194,0.00244786,0.22136000,0.00232551,4.00000000,0.00000000,nan,nan
