dataset,targets,seed_target_cells,G_RMUR_mean,G_static_mean,G_cached_mean,delta_static,delta_static_lo,delta_static_hi,delta_cached,delta_cached_lo,delta_cached_hi,positive_target_fraction,positive_gain_target_fraction,R_oracle_pooled
METRLA,32,96,0.01463,0.00238,0.00423,0.01225,0.00959,0.01494,0.01040,0.00800,0.01279,0.9688,0.8125,0.0994
PEMSBAY,32,75,0.05524,0.02524,0.02689,0.02883,0.02106,0.03978,0.02715,0.02022,0.03560,1.0000,0.9688,0.2968
PEMS03,32,76,0.02677,0.01465,0.01538,0.01224,0.01021,0.01449,0.01148,0.00953,0.01355,1.0000,1.0000,0.4389
PEMS04,32,96,0.03572,0.02483,0.02502,0.01089,0.00906,0.01269,0.01070,0.00891,0.01256,0.9688,1.0000,0.5336
PEMS07,32,96,0.02836,0.01516,0.01497,0.01320,0.01050,0.01603,0.01339,0.01056,0.01665,1.0000,1.0000,0.4556
PEMS08,32,96,0.03332,0.02455,0.02465,0.00876,0.00673,0.01091,0.00867,0.00654,0.01089,0.9688,1.0000,0.5157
