dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
PEMS08,0,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS08,0,101,pool_all,0.03060723,0.37050000,-1.45982742,16.00000000
PEMS08,0,101,relevance,-0.01166140,0.67350000,-0.77142465,4.00000000
PEMS08,0,101,mmr,0.00330330,0.61050000,-0.83231699,4.00000000
PEMS08,0,101,static_utility,0.02582764,0.39350000,-0.63384992,4.00000000
PEMS08,0,101,cached_mur,0.02496012,0.36350000,-0.42726013,3.55950000
PEMS08,0,101,oracle_static,0.05528790,0.16800000,0.47113758,3.96600000
PEMS08,0,101,oracle_greedy,0.06292385,0.00000000,1.00000000,3.91250000
PEMS08,0,101,ranked_response_q4,0.03481631,0.28500000,-0.58108741,3.00000000
PEMS08,5,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS08,5,101,pool_all,0.03222482,0.36850000,-1.01611114,16.00000000
PEMS08,5,101,relevance,0.00870197,0.49500000,-0.30326495,4.00000000
PEMS08,5,101,mmr,0.00960191,0.50600000,-0.30193856,4.00000000
PEMS08,5,101,static_utility,0.02167733,0.38500000,-0.23241384,4.00000000
PEMS08,5,101,cached_mur,0.02400900,0.36700000,-0.14876059,3.33800000
PEMS08,5,101,oracle_static,0.05634988,0.06900000,0.76365435,3.95300000
PEMS08,5,101,oracle_greedy,0.05946046,0.00000000,1.00000000,3.92900000
PEMS08,5,101,ranked_response_q4,0.03581220,0.27150000,-0.21573791,3.16750000
PEMS08,10,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS08,10,101,pool_all,0.02307340,0.41800000,-3.23730040,16.00000000
PEMS08,10,101,relevance,-0.01367291,0.66500000,-1.00494325,4.00000000
PEMS08,10,101,mmr,-0.00753540,0.63100000,-1.30754387,4.00000000
PEMS08,10,101,static_utility,0.01969555,0.40350000,-0.93463367,4.00000000
