redundancy,policy,mean_prediction_gain_mean,mean_prediction_gain_std,mean_utility_recovery_mean,mean_utility_recovery_std,mean_duplicate_selections_mean,mean_duplicate_selections_std,duplicate_selection_rate_mean,duplicate_selection_rate_std,negative_transfer_rate_mean,negative_transfer_rate_std,mean_selected_contexts_mean,mean_selected_contexts_std
0.5,coverage,0.50170940,0.01820571,1.00000000,0.00000000,2.00000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mmr,0.50170940,0.01820571,1.00000000,0.00000000,2.00000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mur_free_threshold,0.37777905,0.03238187,0.54878292,0.08030247,0.02120000,0.01851966,0.00782222,0.00653084,0.00000000,0.00000000,0.84906667,0.19182897
0.5,mur_interval,0.38765479,0.01352476,0.58050847,0.01820864,0.02173333,0.00734242,0.00806667,0.00266157,0.00000000,0.00000000,0.90866667,0.05618027
0.5,mur_light,0.48924315,0.01773735,0.96751708,0.00770430,0.97280000,0.04553485,0.27822222,0.01245709,0.00000000,0.00000000,2.90186667,0.04488355
0.5,oracle,0.50170940,0.01820571,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.99946667,0.00029814
0.5,oracle_static,0.50170940,0.01820571,1.00000000,0.00000000,1.99933333,0.00047140,0.49993333,0.00014907,0.00000000,0.00000000,3.99880000,0.00073030
0.5,relevance,0.50170940,0.01820571,1.00000000,0.00000000,2.00000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,static_utility,0.50170940,0.01820571,1.00000000,0.00000000,2.00000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
