probe,metric_mean,metric_std
x1:mae,0.03978935,0.00344706
x1:spearman,0.16369913,0.01181431
x1:positive_auc,0.64918499,0.00571382
x1:top1_accuracy,0.14795000,0.01989123
x1:one_step_regret,0.07360400,0.00758970
x2:mae,0.03565819,0.00297369
x2:spearman,0.39045983,0.01276621
x2:positive_auc,0.83424009,0.00908902
x2:top1_accuracy,0.25947500,0.04513170
x2:one_step_regret,0.05692632,0.00614912
x3:mae,0.03580688,0.00305602
x3:spearman,0.37252765,0.02516586
x3:positive_auc,0.84112167,0.00836399
x3:top1_accuracy,0.24455000,0.01585397
x3:one_step_regret,0.05751739,0.00626661
