dataset,targets,seed_target_runs,H_mean,H_median,H_std,H_positive_fraction,H_p10,H_p90,positive_target_fraction
METRLA,32,160,0.09663,0.08791,0.03775,1.0000,0.05659,0.14769,1.0000
PEMSBAY,32,160,0.11535,0.11555,0.04720,1.0000,0.05565,0.17037,1.0000
PEMS03,32,160,0.12213,0.11127,0.05596,1.0000,0.05721,0.19815,1.0000
PEMS04,32,160,0.08480,0.07634,0.04953,1.0000,0.04184,0.13539,1.0000
PEMS07,32,160,0.08915,0.08685,0.03563,1.0000,0.04823,0.14475,1.0000
PEMS08,32,160,0.07778,0.07662,0.03247,1.0000,0.03826,0.12288,1.0000
