finetune_epochs,target,seed,validation_mse,base_only,pool_all,random,relevance,mmr,facility_location,dpp,static_utility,cached_mur,oracle_static,oracle_greedy,ranked_response_q4,ranked_response_q8
0,0,101,,0.0,0.025705790147185326,0.020547794178128242,0.009079299867153168,0.008908893913030624,0.015044263564050198,0.01606544852256775,0.02421099692583084,0.027393585070967674,0.08966125547885895,0.10338183492422104,0.032377615571022034,0.03433103486895561
0,0,202,,0.0,0.029095640406012535,0.019254367798566818,0.01539596077054739,0.024983718991279602,0.014323671348392963,0.023720677942037582,0.019981203600764275,0.02082311175763607,0.08219513297080994,0.09568870067596436,0.02309465780854225,0.027464406564831734
0,109,101,,0.0,-0.037889573723077774,-0.034961119294166565,-0.018463676795363426,-0.02835007756948471,-0.02136503905057907,-0.033576689660549164,-0.02331525832414627,-0.00917261652648449,0.07782716304063797,0.09775751084089279,0.0075520421378314495,0.010758250951766968
0,109,202,,0.0,-0.004880784545093775,-0.0036671324633061886,-0.0017233452526852489,-0.0005645823548547924,-0.006779809482395649,-0.004292336292564869,-0.009040950797498226,-0.006520056631416082,0.062189921736717224,0.0813615694642067,0.0019176254281774163,0.0033427258022129536
0,137,101,,0.0,0.02679566852748394,0.009683276526629925,0.013408004306256771,0.016542620956897736,0.011305341497063637,0.015684034675359726,0.017056263983249664,0.0065786391496658325,0.12071023881435394,0.1437598615884781,0.04182456061244011,0.048648651689291
0,137,202,,0.0,0.01593189314007759,0.00861101783812046,0.012282853946089745,0.01750696264207363,0.0062036640010774136,0.015747731551527977,0.014952186495065689,0.01849691942334175,0.08933932334184647,0.10236714035272598,0.019465453922748566,0.023078788071870804
0,164,101,,0.0,0.022855903953313828,0.009632264263927937,0.006743404548615217,0.010950837284326553,0.0009486309136264026,0.01604435406625271,0.015835421159863472,0.01346561685204506,0.0994224026799202,0.12230709940195084,0.03349418193101883,0.035338398069143295
0,164,202,,0.0,0.013066228479146957,0.0030426185112446547,0.005955418571829796,0.009036459028720856,0.0016513450536876917,0.013741983100771904,0.007537191268056631,0.009867258369922638,0.0874464362859726,0.09931623935699463,0.014541189186275005,0.015659071505069733
0,192,101,,0.0,0.007650996092706919,-0.001216207747347653,-0.008300394751131535,-0.009653807617723942,-0.002779543399810791,-0.007950040511786938,0.0025694447103887796,0.008814020082354546,0.07801415771245956,0.09422208368778229,0.00991195347160101,0.012400418519973755
0,192,202,,0.0,0.011015075258910656,0.007775318808853626,0.0066339862532913685,0.006488945335149765,0.00032960891257971525,0.006423498038202524,0.00585398031398654,-5.266940570436418e-05,0.0726781040430069,0.08588565140962601,0.0031677738297730684,0.007643402554094791
