dataset,oracle_static,oracle_greedy,H_state,static_utility,cached_mur,ranked_rmur_q2,ranked_rmur_q4,ranked_rmur_q8,ranked_rmur_full,R_oracle_q4,R_deploy_q4
METRLA,0.15974,0.17982,0.1117,-0.00046,0.01775,0.03217,0.03623,0.03384,0.03179,0.2015,0.2035
PEMSBAY,0.13917,0.16447,0.1538,0.03206,0.03200,0.04808,0.05496,0.05172,0.04614,0.3342,0.1729
PEMS03,0.04723,0.06422,0.2646,0.02034,0.01912,0.02545,0.03156,0.03262,0.03244,0.4914,0.2556
PEMS04,0.08368,0.08726,0.0410,0.03972,0.03837,0.03946,0.05297,0.06124,0.06295,0.6071,0.2788
PEMS07,0.09122,0.10268,0.1117,0.01473,0.01753,0.03102,0.04047,0.04698,0.04807,0.3942,0.2927
PEMS08,0.05604,0.06322,0.1136,0.02840,0.02729,0.03149,0.03713,0.03955,0.03949,0.5874,0.2508
