redundancy,policy,mean_prediction_gain_mean,mean_prediction_gain_std,mean_utility_recovery_mean,mean_utility_recovery_std,mean_duplicate_selections_mean,mean_duplicate_selections_std,duplicate_selection_rate_mean,duplicate_selection_rate_std,negative_transfer_rate_mean,negative_transfer_rate_std,mean_selected_contexts_mean,mean_selected_contexts_std
0.5,coverage,0.06121959,0.00160844,0.26278241,0.00473431,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mmr,0.09834097,0.00245684,0.40857224,0.00750967,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mur_free_threshold,0.08763160,0.00326811,0.35027356,0.01591564,1.05360000,0.05779004,0.28778889,0.01351253,0.00000000,0.00000000,2.68840000,0.14870299
0.5,mur_interval,0.09219700,0.00288832,0.37037510,0.01460833,1.11933333,0.06502820,0.30234444,0.01431865,0.00000000,0.00000000,2.87146667,0.15044039
0.5,mur_light,0.11607367,0.00087548,0.47979062,0.00591871,1.54413333,0.01502147,0.38605556,0.00374434,0.00000000,0.00000000,3.99840000,0.00357771
0.5,oracle,0.23772788,0.00215505,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,oracle_static,0.16525983,0.00164282,0.69198333,0.00493593,1.63426667,0.01902396,0.40856667,0.00475599,0.00000000,0.00000000,4.00000000,0.00000000
0.5,relevance,0.05922077,0.00169026,0.25423422,0.00544069,0.13120000,0.00799166,0.03280000,0.00199792,0.00000000,0.00000000,4.00000000,0.00000000
0.5,static_utility,0.12038189,0.00458509,0.49914693,0.01396485,1.54800000,0.05846746,0.38700000,0.01461687,0.00000000,0.00000000,4.00000000,0.00000000
