dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
PEMSBAY,0,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,0,101,pool_all,0.01819479,0.46700000,-157088.25000000,16.00000000
PEMSBAY,0,101,random,0.01240375,0.46400000,-57813.72265625,4.00000000
PEMSBAY,0,101,relevance,0.00874470,0.42950000,-48488.13671875,4.00000000
PEMSBAY,0,101,mmr,0.00696682,0.44250000,-64186.51171875,4.00000000
PEMSBAY,0,101,facility_location,0.01546636,0.45050000,-161153.35937500,4.00000000
PEMSBAY,0,101,dpp,0.01407647,0.44300000,-81285.28906250,4.00000000
PEMSBAY,0,101,static_utility,0.00751007,0.49950000,-222910.21875000,4.00000000
PEMSBAY,0,101,cached_mur,0.00343139,0.47650000,-198652.95312500,3.84950000
PEMSBAY,0,101,oracle_static,0.07359163,0.06750000,0.68212122,3.40050000
PEMSBAY,0,101,oracle_greedy,0.08892126,0.03000000,1.00000000,2.18700000
PEMSBAY,0,101,ranked_response_q4,-0.00281704,0.48000000,-236917.51562500,3.21150000
PEMSBAY,0,101,ranked_response_q8,-0.00065391,0.47550000,-194554.57812500,3.53650000
PEMSBAY,0,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,0,202,pool_all,0.00886365,0.50900000,-413350.68750000,16.00000000
PEMSBAY,0,202,random,0.00751859,0.47000000,-143686.09375000,4.00000000
PEMSBAY,0,202,relevance,0.00384496,0.41850000,-66355.32031250,4.00000000
PEMSBAY,0,202,mmr,0.00741364,0.44450000,-73359.80468750,4.00000000
PEMSBAY,0,202,facility_location,0.00340094,0.46700000,-114533.15625000,4.00000000
PEMSBAY,0,202,dpp,0.01482399,0.44650000,-100062.67968750,4.00000000
PEMSBAY,0,202,static_utility,0.01187316,0.52450000,-569520.00000000,4.00000000
PEMSBAY,0,202,cached_mur,0.01394364,0.46250000,-492782.68750000,3.10450000
PEMSBAY,0,202,oracle_static,0.08322435,0.07600000,0.70233744,3.36600000
PEMSBAY,0,202,oracle_greedy,0.09565889,0.03000000,1.00000000,2.33050000
PEMSBAY,0,202,ranked_response_q4,0.01392036,0.45300000,-82266.98437500,2.18800000
PEMSBAY,0,202,ranked_response_q8,0.01127758,0.46000000,-108419.49218750,2.67900000
PEMSBAY,0,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,0,303,pool_all,0.02153846,0.50150000,-93139.68750000,16.00000000
PEMSBAY,0,303,random,0.01334202,0.48400000,-102917.75000000,4.00000000
PEMSBAY,0,303,relevance,0.00836514,0.47650000,-78726.39062500,4.00000000
PEMSBAY,0,303,mmr,0.00732953,0.47950000,-79537.84375000,4.00000000
PEMSBAY,0,303,facility_location,0.01669049,0.46450000,-53198.12890625,4.00000000
PEMSBAY,0,303,dpp,0.01565538,0.48750000,-65582.89843750,4.00000000
PEMSBAY,0,303,static_utility,0.01314833,0.53400000,-167215.45312500,4.00000000
PEMSBAY,0,303,cached_mur,0.01265880,0.52100000,-112512.64062500,3.85250000
PEMSBAY,0,303,oracle_static,0.08370221,0.07900000,0.66136897,3.19800000
PEMSBAY,0,303,oracle_greedy,0.09906775,0.03250000,1.00000000,2.27550000
PEMSBAY,0,303,ranked_response_q4,0.01467680,0.44950000,-57120.69921875,2.61850000
PEMSBAY,0,303,ranked_response_q8,0.01109529,0.46200000,-62899.03125000,3.21050000
PEMSBAY,21,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,21,101,pool_all,0.04355967,0.57250000,-535506.62500000,16.00000000
PEMSBAY,21,101,random,0.03075515,0.55050000,-331386.46875000,4.00000000
PEMSBAY,21,101,relevance,0.02912780,0.53850000,-325604.87500000,4.00000000
PEMSBAY,21,101,mmr,0.03164691,0.54850000,-359959.43750000,4.00000000
PEMSBAY,21,101,facility_location,0.02624830,0.53450000,-309960.31250000,4.00000000
PEMSBAY,21,101,dpp,0.03127956,0.55400000,-379791.81250000,4.00000000
PEMSBAY,21,101,static_utility,0.03078130,0.53750000,-875696.87500000,4.00000000
PEMSBAY,21,101,cached_mur,0.03515696,0.54300000,-588642.56250000,3.93600000
PEMSBAY,21,101,oracle_static,0.10094411,0.12900000,0.69567347,2.78800000
PEMSBAY,21,101,oracle_greedy,0.11361378,0.09100000,1.00000000,1.75450000
PEMSBAY,21,101,ranked_response_q4,0.03000526,0.52650000,-578426.25000000,2.39050000
PEMSBAY,21,101,ranked_response_q8,0.02674989,0.53600000,-578944.12500000,2.87750000
PEMSBAY,21,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,21,202,pool_all,0.01766885,0.49750000,-928901.18750000,16.00000000
PEMSBAY,21,202,random,0.01332771,0.48300000,-524701.50000000,4.00000000
PEMSBAY,21,202,relevance,0.01263994,0.47350000,-352479.46875000,4.00000000
PEMSBAY,21,202,mmr,0.01491180,0.47350000,-448453.40625000,4.00000000
PEMSBAY,21,202,facility_location,0.00643776,0.48550000,-402480.09375000,4.00000000
PEMSBAY,21,202,dpp,0.01280152,0.47850000,-315528.37500000,4.00000000
PEMSBAY,21,202,static_utility,0.01144212,0.47950000,-854013.31250000,4.00000000
PEMSBAY,21,202,cached_mur,0.00777856,0.47350000,-309811.03125000,3.28450000
PEMSBAY,21,202,oracle_static,0.07021853,0.10800000,0.72253740,2.90300000
PEMSBAY,21,202,oracle_greedy,0.08120088,0.07850000,1.00000000,2.00650000
PEMSBAY,21,202,ranked_response_q4,0.00887868,0.44150000,-264102.34375000,2.56850000
PEMSBAY,21,202,ranked_response_q8,0.01022550,0.44050000,-290888.34375000,2.96250000
PEMSBAY,21,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,21,303,pool_all,0.04388124,0.45550000,-156495.53125000,16.00000000
PEMSBAY,21,303,random,0.02828314,0.47650000,-230167.15625000,4.00000000
PEMSBAY,21,303,relevance,0.02334054,0.48450000,-173872.68750000,4.00000000
PEMSBAY,21,303,mmr,0.03104607,0.49900000,-209848.56250000,4.00000000
PEMSBAY,21,303,facility_location,0.02372316,0.47900000,-189968.76562500,4.00000000
PEMSBAY,21,303,dpp,0.02088452,0.50500000,-246147.62500000,4.00000000
PEMSBAY,21,303,static_utility,0.03835655,0.47750000,-166641.79687500,4.00000000
PEMSBAY,21,303,cached_mur,0.03580949,0.48300000,-285003.81250000,3.82250000
PEMSBAY,21,303,oracle_static,0.09023738,0.10150000,0.73674476,2.94300000
PEMSBAY,21,303,oracle_greedy,0.10217920,0.08200000,1.00000000,1.93850000
PEMSBAY,21,303,ranked_response_q4,0.03412528,0.47050000,-241479.25000000,1.77300000
PEMSBAY,21,303,ranked_response_q8,0.04057094,0.49300000,-298920.18750000,2.33800000
PEMSBAY,43,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,43,101,pool_all,0.02157784,0.46450000,-124824.34375000,16.00000000
PEMSBAY,43,101,random,0.01374068,0.45650000,-107311.05468750,4.00000000
PEMSBAY,43,101,relevance,0.01249143,0.46050000,-170701.31250000,4.00000000
PEMSBAY,43,101,mmr,0.01266517,0.47350000,-160232.70312500,4.00000000
PEMSBAY,43,101,facility_location,0.01937051,0.45700000,-147341.70312500,4.00000000
PEMSBAY,43,101,dpp,0.01005172,0.44050000,-106801.59375000,4.00000000
PEMSBAY,43,101,static_utility,0.01323288,0.47000000,-145238.15625000,4.00000000
PEMSBAY,43,101,cached_mur,0.01503679,0.49150000,-140158.14062500,3.86100000
PEMSBAY,43,101,oracle_static,0.08427070,0.06150000,0.73451555,3.40700000
PEMSBAY,43,101,oracle_greedy,0.09742061,0.02650000,1.00000000,2.15500000
PEMSBAY,43,101,ranked_response_q4,0.01566563,0.41050000,-78912.11718750,1.74450000
PEMSBAY,43,101,ranked_response_q8,0.01382089,0.42800000,-90996.45312500,2.41350000
PEMSBAY,43,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,43,202,pool_all,0.01680067,0.49100000,-108110.72656250,16.00000000
PEMSBAY,43,202,random,0.01551019,0.46850000,-79571.42968750,4.00000000
PEMSBAY,43,202,relevance,0.01488874,0.49600000,-73841.00781250,4.00000000
PEMSBAY,43,202,mmr,0.01112178,0.49750000,-79456.48437500,4.00000000
PEMSBAY,43,202,facility_location,0.01073128,0.48250000,-71595.80468750,4.00000000
PEMSBAY,43,202,dpp,0.01335452,0.48500000,-80350.57031250,4.00000000
PEMSBAY,43,202,static_utility,0.00818069,0.49700000,-95509.21093750,4.00000000
PEMSBAY,43,202,cached_mur,0.00631748,0.51300000,-130480.72656250,2.00000000
PEMSBAY,43,202,oracle_static,0.07491961,0.07400000,0.70572901,3.48900000
PEMSBAY,43,202,oracle_greedy,0.08618891,0.02250000,1.00000000,2.40000000
PEMSBAY,43,202,ranked_response_q4,0.00872815,0.46600000,-55980.94921875,2.83600000
PEMSBAY,43,202,ranked_response_q8,0.01308676,0.45950000,-74016.83593750,3.32650000
PEMSBAY,43,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,43,303,pool_all,0.00866809,0.46300000,-89952.60156250,16.00000000
PEMSBAY,43,303,random,0.00553569,0.45750000,-85070.17968750,4.00000000
PEMSBAY,43,303,relevance,0.00300503,0.48850000,-78715.17968750,4.00000000
PEMSBAY,43,303,mmr,0.00528547,0.46450000,-86305.96875000,4.00000000
PEMSBAY,43,303,facility_location,0.00289313,0.48550000,-75504.71093750,4.00000000
PEMSBAY,43,303,dpp,0.00691882,0.48000000,-85181.56250000,4.00000000
PEMSBAY,43,303,static_utility,0.01210816,0.47850000,-106495.53125000,4.00000000
PEMSBAY,43,303,cached_mur,0.00867977,0.47650000,-101258.71093750,2.99350000
PEMSBAY,43,303,oracle_static,0.07701402,0.06550000,0.74722159,3.37800000
PEMSBAY,43,303,oracle_greedy,0.09087089,0.02250000,1.00000000,2.28500000
PEMSBAY,43,303,ranked_response_q4,0.01008130,0.49600000,-76099.06250000,2.71100000
PEMSBAY,43,303,ranked_response_q8,0.00848384,0.48750000,-76052.04687500,3.30850000
PEMSBAY,64,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,64,101,pool_all,0.02362931,0.45300000,-88938.20312500,16.00000000
PEMSBAY,64,101,random,0.01800860,0.43950000,-72587.30468750,4.00000000
PEMSBAY,64,101,relevance,0.01102600,0.44250000,-155017.07812500,4.00000000
PEMSBAY,64,101,mmr,0.01354048,0.45400000,-133592.81250000,4.00000000
PEMSBAY,64,101,facility_location,0.01243233,0.44550000,-118582.28125000,4.00000000
PEMSBAY,64,101,dpp,0.02159719,0.43900000,-116571.38281250,4.00000000
PEMSBAY,64,101,static_utility,0.01277137,0.43800000,-186879.10937500,4.00000000
PEMSBAY,64,101,cached_mur,0.01481640,0.45650000,-108009.76562500,3.16850000
PEMSBAY,64,101,oracle_static,0.07393114,0.06100000,0.69394845,3.56250000
PEMSBAY,64,101,oracle_greedy,0.08503925,0.01400000,1.00000000,2.37550000
PEMSBAY,64,101,ranked_response_q4,0.01156377,0.44500000,-23943.26562500,3.01050000
PEMSBAY,64,101,ranked_response_q8,0.01704107,0.45250000,-26828.76953125,3.34800000
PEMSBAY,64,202,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,64,202,pool_all,0.02451165,0.49650000,-285145.37500000,16.00000000
PEMSBAY,64,202,random,0.01388626,0.49600000,-217662.73437500,4.00000000
PEMSBAY,64,202,relevance,0.01175519,0.48950000,-184682.93750000,4.00000000
PEMSBAY,64,202,mmr,0.00671058,0.50200000,-186794.54687500,4.00000000
PEMSBAY,64,202,facility_location,0.01214429,0.51600000,-217524.51562500,4.00000000
PEMSBAY,64,202,dpp,0.02025962,0.49400000,-188636.17187500,4.00000000
PEMSBAY,64,202,static_utility,0.02305405,0.49900000,-234335.18750000,4.00000000
PEMSBAY,64,202,cached_mur,0.01337889,0.50400000,-263786.81250000,3.46300000
PEMSBAY,64,202,oracle_static,0.06750877,0.07550000,0.75195986,3.08100000
PEMSBAY,64,202,oracle_greedy,0.07580827,0.04850000,1.00000000,2.30800000
PEMSBAY,64,202,ranked_response_q4,0.02173206,0.48850000,-169913.26562500,2.42500000
PEMSBAY,64,202,ranked_response_q8,0.02399529,0.49550000,-166066.71875000,2.93900000
PEMSBAY,64,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,64,303,pool_all,0.01830234,0.45450000,-63210.00781250,16.00000000
PEMSBAY,64,303,random,0.01195933,0.47150000,-60056.88281250,4.00000000
PEMSBAY,64,303,relevance,0.00761170,0.49800000,-66018.00781250,4.00000000
PEMSBAY,64,303,mmr,0.00768610,0.49100000,-59146.26171875,4.00000000
PEMSBAY,64,303,facility_location,0.01262189,0.49000000,-80939.60937500,4.00000000
PEMSBAY,64,303,dpp,0.01235349,0.46350000,-59807.80078125,4.00000000
PEMSBAY,64,303,static_utility,0.01652344,0.48500000,-99354.07812500,4.00000000
