dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
PEMS07,0,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,0,101,pool_all,0.03306423,0.39450000,-1.09994900,16.00000000
PEMS07,0,101,relevance,-0.03941999,0.64750000,-1.64685547,4.00000000
PEMS07,0,101,mmr,-0.02811742,0.60800000,-1.68622279,4.00000000
PEMS07,0,101,static_utility,0.01733205,0.43900000,-0.62062913,4.00000000
PEMS07,0,101,cached_mur,0.01988219,0.32100000,-0.42735276,2.74200000
PEMS07,0,101,oracle_static,0.09151503,0.14300000,0.51745301,3.96100000
PEMS07,0,101,oracle_greedy,0.10162820,0.00000000,1.00000000,3.88750000
PEMS07,0,101,ranked_response_q4,0.04138025,0.31000000,-0.42903885,3.31550000
PEMS07,28,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,28,101,pool_all,0.02045569,0.40250000,-17.99668121,16.00000000
PEMS07,28,101,relevance,-0.00995603,0.61100000,-5.71467257,4.00000000
PEMS07,28,101,mmr,-0.00960358,0.57950000,-15.65541267,4.00000000
PEMS07,28,101,static_utility,0.01206597,0.43500000,-22.75435638,4.00000000
PEMS07,28,101,cached_mur,0.01170866,0.42000000,-6.86068869,3.40400000
PEMS07,28,101,oracle_static,0.06539822,0.10050000,0.65789461,3.95950000
PEMS07,28,101,oracle_greedy,0.07177435,0.00000000,1.00000000,3.92750000
PEMS07,28,101,ranked_response_q4,0.03177964,0.30400000,-11.41299438,3.54300000
PEMS07,56,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,56,101,pool_all,0.07258376,0.37150000,-1.10055387,16.00000000
PEMS07,56,101,relevance,-0.05624247,0.69750000,-1.25678098,4.00000000
PEMS07,56,101,mmr,-0.01682041,0.58650000,-1.02447426,4.00000000
PEMS07,56,101,static_utility,0.04460669,0.40750000,-0.21757734,4.00000000
PEMS07,56,101,cached_mur,0.04941545,0.26900000,-0.03728860,2.75150000
PEMS07,56,101,oracle_static,0.12257499,0.08650000,0.71035796,3.96450000
PEMS07,56,101,oracle_greedy,0.12875345,0.00000000,1.00000000,3.90700000
PEMS07,56,101,ranked_response_q4,0.05860452,0.36600000,-0.24568881,2.48300000
PEMS07,85,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,85,101,pool_all,0.02463140,0.37200000,-1.54276836,16.00000000
PEMS07,85,101,relevance,-0.00337981,0.59750000,-0.61023003,4.00000000
PEMS07,85,101,mmr,0.00103038,0.54850000,-0.56695610,4.00000000
PEMS07,85,101,static_utility,0.00809710,0.43200000,-0.27386451,4.00000000
PEMS07,85,101,cached_mur,0.00801582,0.42700000,-0.29578131,3.73900000
PEMS07,85,101,oracle_static,0.03961220,0.05050000,0.81507033,3.96250000
PEMS07,85,101,oracle_greedy,0.04123878,0.00000000,1.00000000,3.94000000
PEMS07,85,101,ranked_response_q4,0.02058624,0.24250000,-0.09867833,2.75450000
PEMS07,113,101,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMS07,113,101,pool_all,0.01982413,0.37800000,-1.00000417,16.00000000
PEMS07,113,101,relevance,-0.00980450,0.62150000,-1.07003486,4.00000000
PEMS07,113,101,mmr,-0.00486288,0.57850000,-1.23826909,4.00000000
