redundancy,policy,mean_prediction_gain_mean,mean_prediction_gain_std,mean_utility_recovery_mean,mean_utility_recovery_std,mean_duplicate_selections_mean,mean_duplicate_selections_std,duplicate_selection_rate_mean,duplicate_selection_rate_std,negative_transfer_rate_mean,negative_transfer_rate_std,mean_selected_contexts_mean,mean_selected_contexts_std
0.5,coverage,0.25039586,0.00372322,0.56594051,0.00581445,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mmr,0.31498901,0.00228552,0.68970882,0.00257775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,mur_free_threshold,0.24598628,0.01851784,0.48469051,0.05509671,0.33840000,0.14451190,0.09506667,0.04082743,0.00000000,0.00000000,1.92973333,0.34587332
0.5,mur_interval,0.23569835,0.00496991,0.45554170,0.01360752,0.27866667,0.09310925,0.07978889,0.02736802,0.00000000,0.00000000,1.72546667,0.12397347
0.5,mur_light,0.31937379,0.00736182,0.69741418,0.01156122,1.02760000,0.11018631,0.25703333,0.02755820,0.00000000,0.00000000,3.99440000,0.00381809
0.5,oracle,0.44384591,0.00361606,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000
0.5,oracle_static,0.34827596,0.00370533,0.78035437,0.00271740,1.67520000,0.01171324,0.41880000,0.00292831,0.00000000,0.00000000,4.00000000,0.00000000
0.5,relevance,0.21685198,0.00432761,0.49041752,0.00799339,0.53653333,0.01123882,0.13413333,0.00280971,0.00000000,0.00000000,4.00000000,0.00000000
0.5,static_utility,0.28954355,0.00383541,0.62989687,0.00551548,1.66973333,0.02578802,0.41743333,0.00644701,0.00000000,0.00000000,4.00000000,0.00000000
