policy,mean_prediction_gain_mean,mean_prediction_gain_std,mean_utility_recovery_mean,mean_utility_recovery_std,negative_transfer_rate_mean,negative_transfer_rate_std
base_only,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
oracle_static,0.15057413,0.00536973,0.48428226,0.09075454,0.14830000,0.02673387
oracle_greedy,0.16923135,0.00857693,1.00000000,0.00000000,0.00000000,0.00000000
