dataset,target_sensor,seed,policy,mean_prediction_gain,negative_transfer_rate,mean_utility_recovery,mean_selected_contexts
PEMSBAY,0,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,0,303,pool_all,0.04706657,0.57000000,-3.17915320,16.00000000
PEMSBAY,0,303,relevance,-0.03911756,0.73700000,-1.44675231,4.00000000
PEMSBAY,0,303,mmr,-0.01905569,0.69000000,-1.71879983,4.00000000
PEMSBAY,0,303,static_utility,0.02269146,0.49550000,-1.06518626,4.00000000
PEMSBAY,0,303,cached_mur,0.01681343,0.51600000,-1.25639606,2.86800000
PEMSBAY,0,303,oracle_static,0.14891995,0.18800000,0.37299240,3.93550000
PEMSBAY,0,303,oracle_greedy,0.17150702,0.00000000,1.00000000,3.79150000
PEMSBAY,0,303,ranked_response_q4,0.04134017,0.48000000,-1.27790868,3.05250000
PEMSBAY,10,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,10,303,pool_all,0.07982460,0.53500000,-2.24251962,16.00000000
PEMSBAY,10,303,relevance,-0.00744687,0.57250000,-0.64518756,4.00000000
PEMSBAY,10,303,mmr,-0.27057406,0.60400000,-0.81471771,4.00000000
PEMSBAY,10,303,static_utility,0.01683481,0.51850000,-0.94082141,4.00000000
PEMSBAY,10,303,cached_mur,0.01272828,0.48550000,-0.99349934,3.70400000
PEMSBAY,10,303,oracle_static,0.99695593,0.05750000,0.79976255,3.97300000
PEMSBAY,10,303,oracle_greedy,1.00713611,0.00000000,1.00000000,3.96350000
PEMSBAY,10,303,ranked_response_q4,0.22575058,0.33050000,-0.25963831,2.75250000
PEMSBAY,20,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,20,303,pool_all,0.10414307,0.44250000,-8.69845200,16.00000000
PEMSBAY,20,303,relevance,-0.00905167,0.73800000,-1.19155765,4.00000000
PEMSBAY,20,303,mmr,-0.06922546,0.72650000,-6.00289965,4.00000000
PEMSBAY,20,303,static_utility,0.03966349,0.44000000,-6.04586363,4.00000000
PEMSBAY,20,303,cached_mur,0.04622226,0.39700000,-5.01771402,3.62400000
PEMSBAY,20,303,oracle_static,0.30117190,0.16100000,0.45283788,3.95350000
PEMSBAY,20,303,oracle_greedy,0.32603386,0.00000000,1.00000000,3.78050000
PEMSBAY,20,303,ranked_response_q4,0.07461318,0.32500000,-4.73847628,3.33550000
PEMSBAY,31,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,31,303,pool_all,0.01897348,0.52900000,-3.62244678,16.00000000
PEMSBAY,31,303,relevance,0.00520400,0.52900000,-0.53980827,4.00000000
PEMSBAY,31,303,mmr,0.00340815,0.53350000,-1.36476004,4.00000000
PEMSBAY,31,303,static_utility,0.01746579,0.53250000,-1.54468501,4.00000000
PEMSBAY,31,303,cached_mur,0.01227773,0.52700000,-1.28122962,2.95500000
PEMSBAY,31,303,oracle_static,0.06851868,0.23050000,0.08632997,3.92650000
PEMSBAY,31,303,oracle_greedy,0.07354330,0.00000000,1.00000000,3.74400000
PEMSBAY,31,303,ranked_response_q4,0.03067281,0.38500000,-0.78938258,2.92050000
PEMSBAY,41,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,41,303,pool_all,0.00792072,0.56950000,-19.60280609,16.00000000
PEMSBAY,41,303,relevance,-0.03978147,0.79300000,-5.48706961,4.00000000
PEMSBAY,41,303,mmr,-0.03627388,0.76100000,-7.96700335,4.00000000
PEMSBAY,41,303,static_utility,0.01393831,0.46150000,-4.36181784,4.00000000
PEMSBAY,41,303,cached_mur,0.00065916,0.51250000,-15.35579777,2.94250000
PEMSBAY,41,303,oracle_static,0.12722020,0.28950000,0.03117029,3.90250000
PEMSBAY,41,303,oracle_greedy,0.14927380,0.00000000,1.00000000,3.61600000
PEMSBAY,41,303,ranked_response_q4,0.02883790,0.42650000,-6.59367180,3.08050000
PEMSBAY,52,303,base_only,0.00000000,0.00000000,0.00000000,0.00000000
PEMSBAY,52,303,pool_all,0.04417885,0.61000000,-10.54282761,16.00000000
PEMSBAY,52,303,relevance,0.00842752,0.59500000,-2.47117043,4.00000000
PEMSBAY,52,303,mmr,0.01053213,0.59300000,-2.82461739,4.00000000
PEMSBAY,52,303,static_utility,0.03087154,0.65200000,-4.21092606,4.00000000
PEMSBAY,52,303,cached_mur,0.02752908,0.61250000,-2.46986437,3.29700000
